h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal
2,9,"[1, 72, 6]",504,6,6,True,False
2,9,"[1, 67, 6]",469,6,6,True,False
2,9,"[1, 27, 6]",189,6,6,True,False
2,9,"[1, 9, 6]",63,6,6,True,False
2,9,"[1, 3, 6]",21,6,6,True,False
2,9,"[1, 2, 6]",14,6,6,True,True
3,9,"[1, 226, 88, 6]",20642,6,6,True,False
3,9,"[1, 104, 74, 6]",8244,6,6,True,False
3,9,"[1, 23, 224, 6]",6519,6,6,True,False
3,9,"[1, 82, 12, 6]",1138,6,6,True,False
3,9,"[1, 66, 66, 6]",4818,6,6,True,False
3,9,"[1, 44, 12, 6]",644,6,6,True,False
3,9,"[1, 22, 109, 6]",3074,6,6,True,False
3,9,"[1, 19, 115, 6]",2894,6,6,True,False
3,9,"[1, 43, 41, 6]",2052,6,6,True,False
3,9,"[1, 17, 101, 6]",2340,6,6,True,False
3,9,"[1, 11, 234, 6]",3989,6,6,True,False
3,9,"[1, 39, 40, 6]",1839,6,6,True,False
3,9,"[1, 3, 39, 6]",354,6,6,True,False
3,9,"[1, 220, 2, 6]",672,6,6,True,False
3,9,"[1, 167, 9, 6]",1724,6,6,True,False
3,9,"[1, 8, 37, 6]",526,6,6,True,False
3,9,"[1, 25, 22, 6]",707,6,6,True,False
3,9,"[1, 40, 6, 6]",316,6,6,True,False
3,9,"[1, 15, 19, 6]",414,6,6,True,False
3,9,"[1, 3, 11, 6]",102,6,6,True,False
3,9,"[1, 2, 281, 6]",2250,6,6,True,False
3,9,"[1, 173, 5, 6]",1068,6,6,True,False
3,9,"[1, 97, 3, 6]",406,6,6,True,False
3,9,"[1, 27, 4, 6]",159,6,6,True,False
3,9,"[1, 161, 2, 6]",495,6,6,True,False
3,9,"[1, 2, 219, 6]",1754,6,6,True,False
3,9,"[1, 3, 5, 6]",48,6,6,True,False
3,9,"[1, 40, 3, 6]",178,6,6,True,False
3,9,"[1, 13, 3, 6]",70,6,6,True,False
3,9,"[1, 2, 147, 6]",1178,6,6,True,False
3,9,"[1, 117, 2, 6]",363,6,6,True,False
3,9,"[1, 40, 2, 6]",132,6,6,True,False
3,9,"[1, 2, 136, 6]",1090,6,6,True,False
3,9,"[1, 8, 4, 6]",64,6,6,True,False
3,9,"[1, 2, 73, 6]",586,6,6,True,False
3,9,"[1, 23, 2, 6]",81,6,6,True,False
3,9,"[1, 13, 2, 6]",51,6,6,True,False
3,9,"[1, 2, 25, 6]",202,6,6,True,False
3,9,"[1, 7, 2, 6]",33,6,6,True,False
3,9,"[1, 2, 11, 6]",90,6,6,True,False
3,9,"[1, 5, 2, 6]",27,6,6,True,False
3,9,"[1, 2, 7, 6]",58,6,6,True,False
3,9,"[1, 4, 4, 6]",44,6,6,True,False
3,9,"[1, 3, 4, 6]",39,6,6,True,False
3,9,"[1, 4, 3, 6]",34,6,6,True,False
3,9,"[1, 3, 3, 6]",30,6,6,True,False
3,9,"[1, 2, 3, 6]",26,6,6,True,False
3,9,"[1, 2, 2, 6]",18,6,6,True,True
