h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal
2,3,"[1, 268, 3]",1072,3,3,True,False
2,3,"[1, 69, 3]",276,3,3,True,False
2,3,"[1, 46, 3]",184,3,3,True,False
2,3,"[1, 18, 3]",72,3,3,True,False
2,3,"[1, 7, 3]",28,3,3,True,False
2,3,"[1, 6, 3]",24,3,3,True,False
2,3,"[1, 3, 3]",12,3,3,True,False
2,3,"[1, 2, 3]",8,3,3,True,True
3,3,"[1, 75, 243, 3]",19029,3,3,True,False
3,3,"[1, 228, 23, 3]",5541,3,3,True,False
3,3,"[1, 216, 77, 3]",17079,3,3,True,False
3,3,"[1, 127, 188, 3]",24567,3,3,True,False
3,3,"[1, 15, 102, 3]",1851,3,3,True,False
3,3,"[1, 186, 89, 3]",17007,3,3,True,False
3,3,"[1, 178, 90, 3]",16468,3,3,True,False
3,3,"[1, 171, 18, 3]",3303,3,3,True,False
3,3,"[1, 120, 48, 3]",6024,3,3,True,False
3,3,"[1, 152, 45, 3]",7127,3,3,True,False
3,3,"[1, 150, 18, 3]",2904,3,3,True,False
3,3,"[1, 13, 34, 3]",557,3,3,True,False
3,3,"[1, 108, 31, 3]",3549,3,3,True,False
3,3,"[1, 72, 32, 3]",2472,3,3,True,False
3,3,"[1, 21, 33, 3]",813,3,3,True,False
3,3,"[1, 10, 171, 3]",2233,3,3,True,False
3,3,"[1, 36, 11, 3]",465,3,3,True,False
3,3,"[1, 8, 5, 3]",63,3,3,True,False
3,3,"[1, 7, 150, 3]",1507,3,3,True,False
3,3,"[1, 2, 156, 3]",782,3,3,True,False
3,3,"[1, 5, 38, 3]",309,3,3,True,False
3,3,"[1, 22, 2, 3]",72,3,3,True,False
3,3,"[1, 2, 122, 3]",612,3,3,True,False
3,3,"[1, 4, 40, 3]",284,3,3,True,False
3,3,"[1, 6, 14, 3]",132,3,3,True,False
3,3,"[1, 6, 7, 3]",69,3,3,True,False
3,3,"[1, 15, 2, 3]",51,3,3,True,False
3,3,"[1, 3, 30, 3]",183,3,3,True,False
3,3,"[1, 5, 26, 3]",213,3,3,True,False
3,3,"[1, 2, 28, 3]",142,3,3,True,False
3,3,"[1, 2, 17, 3]",87,3,3,True,False
3,3,"[1, 7, 6, 3]",67,3,3,True,False
3,3,"[1, 4, 11, 3]",81,3,3,True,False
3,3,"[1, 11, 3, 3]",53,3,3,True,False
3,3,"[1, 2, 6, 3]",32,3,3,True,False
3,3,"[1, 2, 2, 3]",12,3,3,True,True
