h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal
2,5,"[1, 244, 1]",488,1,1,True,False,,,,,,,,,,True
2,5,"[1, 41, 1]",82,1,1,True,False,,,,,,,,,,True
2,5,"[1, 27, 1]",54,1,1,True,False,,,,,,,,,,True
2,5,"[1, 21, 1]",42,1,1,True,False,,,,,,,,,,True
2,5,"[1, 19, 1]",38,1,1,True,False,,,,,,,,,,True
2,5,"[1, 4, 1]",8,1,1,True,False,,,,,,,,,,True
2,5,"[1, 3, 1]",6,1,1,True,False,,,,,,,,,,True
2,5,"[1, 2, 1]",4,1,1,True,False,,,,,,,,,,True
3,5,"[1, 4, 284, 1]",1424,1,1,True,False,,,,,,,,,,True
3,5,"[1, 100, 8, 1]",908,1,1,True,False,,,,,,,,,,True
3,5,"[1, 9, 88, 1]",889,1,1,True,False,,,,,,,,,,True
3,5,"[1, 87, 41, 1]",3695,1,1,True,False,,,,,,,,,,True
3,5,"[1, 19, 49, 1]",999,1,1,True,False,,,,,,,,,,True
3,5,"[1, 33, 20, 1]",713,1,1,True,False,,,,,,,,,,True
3,5,"[1, 6, 159, 1]",1119,1,1,True,False,,,,,,,,,,True
3,5,"[1, 259, 3, 1]",1039,1,1,True,False,,,,,,,,,,True
3,5,"[1, 15, 59, 1]",959,1,1,True,False,,,,,,,,,,True
3,5,"[1, 5, 179, 1]",1079,1,1,True,False,,,,,,,,,,True
3,5,"[1, 8, 99, 1]",899,1,1,True,False,,,,,,,,,,True
3,5,"[1, 223, 6, 1]",1567,1,1,True,False,,,,,,,,,,True
3,5,"[1, 83, 9, 1]",839,1,1,True,False,,,,,,,,,,True
3,5,"[1, 99, 4, 1]",499,1,1,True,False,,,,,,,,,,True
3,5,"[1, 4, 63, 1]",319,1,1,True,False,,,,,,,,,,True
3,5,"[1, 72, 2, 1]",218,1,1,True,False,,,,,,,,,,True
3,5,"[1, 21, 26, 1]",593,1,1,True,False,,,,,,,,,,True
3,5,"[1, 14, 19, 1]",299,1,1,True,False,,,,,,,,,,True
3,5,"[1, 35, 16, 1]",611,1,1,True,False,,,,,,,,,,True
3,5,"[1, 68, 8, 1]",620,1,1,True,False,,,,,,,,,,True
3,5,"[1, 62, 9, 1]",629,1,1,True,False,,,,,,,,,,True
3,5,"[1, 3, 157, 1]",631,1,1,True,False,,,,,,,,,,True
3,5,"[1, 10, 31, 1]",351,1,1,True,False,,,,,,,,,,True
3,5,"[1, 13, 25, 1]",363,1,1,True,False,,,,,,,,,,True
3,5,"[1, 3, 73, 1]",295,1,1,True,False,,,,,,,,,,True
3,5,"[1, 38, 14, 1]",584,1,1,True,False,,,,,,,,,,True
3,5,"[1, 62, 8, 1]",566,1,1,True,False,,,,,,,,,,True
3,5,"[1, 7, 48, 1]",391,1,1,True,False,,,,,,,,,,True
3,5,"[1, 2, 63, 1]",191,1,1,True,False,,,,,,,,,,True
3,5,"[1, 50, 4, 1]",254,1,1,True,False,,,,,,,,,,True
3,5,"[1, 7, 2, 1]",23,1,1,True,False,,,,,,,,,,True
3,5,"[1, 5, 47, 1]",287,1,1,True,False,,,,,,,,,,True
3,5,"[1, 2, 43, 1]",131,1,1,True,False,,,,,,,,,,True
3,5,"[1, 5, 39, 1]",239,1,1,True,False,,,,,,,,,,True
3,5,"[1, 3, 24, 1]",99,1,1,True,False,,,,,,,,,,True
3,5,"[1, 4, 17, 1]",89,1,1,True,False,,,,,,,,,,True
3,5,"[1, 2, 14, 1]",44,1,1,True,False,,,,,,,,,,True
3,5,"[1, 4, 2, 1]",14,1,1,True,False,,,,,,,,,,True
3,5,"[1, 3, 5, 1]",23,1,1,True,False,,,,,,,,,,True
3,5,"[1, 2, 11, 1]",35,1,1,True,False,,,,,,,,,,True
3,5,"[1, 2, 10, 1]",32,1,1,True,False,,,,,,,,,,True
3,5,"[1, 2, 8, 1]",26,1,1,True,False,,,,,,,,,,True
3,5,"[1, 3, 4, 1]",19,1,1,True,False,,,,,,,,,,True
3,5,"[1, 2, 6, 1]",20,1,1,True,False,,,,,,,,,,True
3,5,"[1, 2, 2, 1]",8,1,1,True,False,,,,,,,,,,True
2,5,"[1, 1, 1]",2,1,1,True,True,,,,,,,,,,True
3,5,"[1, 12, 1, 1]",25,1,1,True,False,,,,,,,,,,True
3,5,"[1, 1, 267, 1]",535,1,1,True,False,,,,,,,,,,True
3,5,"[1, 1, 202, 1]",405,1,1,True,False,,,,,,,,,,True
3,5,"[1, 1, 14, 1]",29,1,1,True,False,,,,,,,,,,True
3,5,"[1, 7, 1, 1]",15,1,1,True,False,,,,,,,,,,True
3,5,"[1, 5, 1, 1]",11,1,1,True,False,,,,,,,,,,True
3,5,"[1, 1, 9, 1]",19,1,1,True,False,,,,,,,,,,True
3,5,"[1, 3, 1, 1]",7,1,1,True,False,,,,,,,,,,True
3,5,"[1, 1, 4, 1]",9,1,1,True,False,,,,,,,,,,True
3,5,"[1, 1, 2, 1]",5,1,1,True,False,,,,,,,,,,True
3,5,"[1, 2, 1, 1]",5,1,1,True,False,,,,,,,,,,True
3,5,"[1, 1, 1, 1]",3,1,1,True,True,,,,,,,,,,True
4,5,"[1, 1, 1, 1, 1]",4,1,1,True,True,,,,,,,,,,True
5,5,"[1, 1, 1, 1, 1, 1]",5,1,1,True,True,,,,,,,,,,True
6,5,"[1, 1, 1, 1, 1, 1, 1]",6,1,1,True,True,,,,,,,,,,True
