h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal
2,4,"[1, 258, 8]",2322,8,8,True,False,,,,,,,,,,True
2,4,"[1, 139, 8]",1251,8,8,True,False,,,,,,,,,,True
2,4,"[1, 78, 8]",702,8,8,True,False,,,,,,,,,,True
2,4,"[1, 10, 8]",90,8,8,True,False,,,,,,,,,,True
2,4,"[1, 8, 8]",72,8,8,True,False,,,,,,,,,,True
2,4,"[1, 6, 8]",54,8,8,True,False,,,,,,,,,,True
2,4,"[1, 3, 8]",27,8,8,True,False,,,,,,,,,,True
2,4,"[1, 2, 8]",18,8,8,True,False,,,,,,,,,,True
3,4,"[1, 149, 169, 8]",26682,8,8,True,False,,,,,,,,,,True
3,4,"[1, 267, 84, 8]",23367,8,8,True,False,,,,,,,,,,True
3,4,"[1, 22, 298, 8]",8962,8,8,True,False,,,,,,,,,,True
3,4,"[1, 110, 194, 8]",23002,8,8,True,False,,,,,,,,,,True
3,4,"[1, 233, 6, 8]",1679,8,8,True,False,,,,,,,,,,False
3,4,"[1, 142, 192, 8]",28942,8,8,True,False,,,,,,,,,,True
3,4,"[1, 141, 84, 8]",12657,8,8,True,False,,,,,,,,,,True
3,4,"[1, 71, 46, 8]",3705,8,8,True,False,,,,,,,,,,True
3,4,"[1, 61, 34, 8]",2407,8,8,True,False,,,,,,,,,,True
3,4,"[1, 58, 261, 8]",17284,8,8,True,False,,,,,,,,,,True
3,4,"[1, 226, 30, 8]",7246,8,8,True,False,,,,,,,,,,True
3,4,"[1, 28, 250, 8]",9028,8,8,True,False,,,,,,,,,,True
3,4,"[1, 31, 72, 8]",2839,8,8,True,False,,,,,,,,,,True
3,4,"[1, 101, 18, 8]",2063,8,8,True,False,,,,,,,,,,True
3,4,"[1, 14, 200, 8]",4414,8,8,True,False,,,,,,,,,,True
3,4,"[1, 12, 255, 8]",5112,8,8,True,False,,,,,,,,,,True
3,4,"[1, 38, 58, 8]",2706,8,8,True,False,,,,,,,,,,True
3,4,"[1, 8, 215, 8]",3448,8,8,True,False,,,,,,,,,,True
3,4,"[1, 4, 169, 8]",2032,8,8,True,False,,,,,,,,,,True
3,4,"[1, 227, 2, 8]",697,8,8,True,False,,,,,,,,,,False
3,4,"[1, 39, 50, 8]",2389,8,8,True,False,,,,,,,,,,True
3,4,"[1, 21, 76, 8]",2225,8,8,True,False,,,,,,,,,,True
3,4,"[1, 223, 6, 8]",1609,8,8,True,False,,,,,,,,,,False
3,4,"[1, 99, 9, 8]",1062,8,8,True,False,,,,,,,,,,True
3,4,"[1, 14, 132, 8]",2918,8,8,True,False,,,,,,,,,,True
3,4,"[1, 2, 42, 8]",422,8,8,True,False,,,,,,,,,,True
3,4,"[1, 14, 12, 8]",278,8,8,True,False,,,,,,,,,,True
3,4,"[1, 133, 8, 8]",1261,8,8,True,False,,,,,,,,,,True
3,4,"[1, 145, 5, 8]",910,8,8,True,False,,,,,,,,,,False
3,4,"[1, 94, 3, 8]",400,8,8,True,False,,,,,,,,,,False
3,4,"[1, 162, 2, 8]",502,8,8,True,False,,,,,,,,,,False
3,4,"[1, 47, 8, 8]",487,8,8,True,False,,,,,,,,,,True
3,4,"[1, 18, 2, 8]",70,8,8,True,False,,,,,,,,,,False
3,4,"[1, 8, 7, 8]",120,8,8,True,False,,,,,,,,,,False
3,4,"[1, 2, 27, 8]",272,8,8,True,False,,,,,,,,,,True
3,4,"[1, 11, 5, 8]",106,8,8,True,False,,,,,,,,,,False
3,4,"[1, 4, 16, 8]",196,8,8,True,False,,,,,,,,,,True
3,4,"[1, 2, 25, 8]",252,8,8,True,False,,,,,,,,,,True
3,4,"[1, 5, 8, 8]",109,8,8,True,False,,,,,,,,,,True
3,4,"[1, 4, 2, 8]",28,8,8,True,False,,,,,,,,,,False
3,4,"[1, 3, 19, 8]",212,8,8,True,False,,,,,,,,,,True
3,4,"[1, 3, 13, 8]",146,8,8,True,False,,,,,,,,,,True
3,4,"[1, 3, 2, 8]",25,8,8,True,False,,,,,,,,,,False
3,4,"[1, 2, 10, 8]",102,8,8,True,False,,,,,,,,,,True
3,4,"[1, 2, 7, 8]",72,8,8,True,False,,,,,,,,,,True
3,4,"[1, 2, 2, 8]",22,8,8,True,False,,,,,,,,,,True
2,4,"[1, 1, 8]",9,8,8,True,True,,,,,,,,,,True
3,4,"[1, 1, 157, 8]",1414,8,8,True,False,,,,,,,,,,True
3,4,"[1, 1, 15, 8]",136,8,8,True,False,,,,,,,,,,True
3,4,"[1, 96, 1, 8]",200,8,8,True,False,,,,,,,,,,False
3,4,"[1, 93, 1, 8]",194,8,8,True,False,,,,,,,,,,False
3,4,"[1, 27, 1, 8]",62,8,8,True,False,,,,,,,,,,False
3,4,"[1, 13, 1, 8]",34,8,8,True,False,,,,,,,,,,False
3,4,"[1, 3, 1, 8]",14,8,8,True,False,,,,,,,,,,False
3,4,"[1, 1, 6, 8]",55,8,8,True,False,,,,,,,,,,True
3,4,"[1, 1, 2, 8]",19,8,8,True,False,,,,,,,,,,True
3,4,"[1, 1, 1, 8]",10,8,8,True,True,,,,,,,,,,True
