h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers
2,10,"[2, 11, 3]",55,33,33,True,False,,,,,,,,,
2,10,"[2, 8, 3]",40,32,33,False,False,,,,,,,,,
2,10,"[2, 9, 3]",45,33,33,True,True,,,,,,,,,
3,10,"[2, 40, 11, 3]",553,143,303,False,False,,,,,,,,,
3,10,"[2, 95, 4, 3]",582,52,303,False,False,,,,,,,,,
3,10,"[2, 81, 8, 3]",834,104,303,False,False,,,,,,,,,
3,10,"[2, 84, 7, 3]",777,91,303,False,False,,,,,,,,,
3,10,"[2, 82, 8, 3]",844,104,303,False,False,,,,,,,,,
3,10,"[2, 87, 7, 3]",804,91,303,False,False,,,,,,,,,
3,10,"[2, 78, 10, 3]",966,130,303,False,False,,,,,,,,,
3,10,"[2, 91, 11, 3]",1216,143,303,False,False,,,,,,,,,
3,10,"[2, 94, 10, 3]",1158,130,303,False,False,,,,,,,,,
3,10,"[2, 95, 8, 3]",974,104,303,False,False,,,,,,,,,
3,10,"[2, 98, 8, 3]",1004,104,303,False,False,,,,,,,,,
3,10,"[2, 101, 8, 3]",1034,104,303,False,False,,,,,,,,,
3,10,"[2, 92, 11, 3]",1229,143,303,False,False,,,,,,,,,
3,10,"[2, 95, 10, 3]",1170,130,303,False,False,,,,,,,,,
3,10,"[2, 95, 11, 3]",1268,143,303,False,False,,,,,,,,,
3,10,"[2, 100, 11, 3]",1333,143,303,False,False,,,,,,,,,
3,10,"[2, 101, 9, 3]",1138,117,303,False,False,,,,,,,,,
3,10,"[2, 101, 10, 3]",1242,130,303,False,False,,,,,,,,,
3,10,"[2, 101, 11, 3]",1346,143,303,False,False,,,,,,,,,
