h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers
2,6,"[2, 124, 2]",496,14,14,True,False,,,,,,,,,
2,6,"[2, 46, 2]",184,14,14,True,False,,,,,,,,,
2,6,"[2, 8, 2]",32,14,14,True,False,,,,,,,,,
2,6,"[2, 4, 2]",16,12,14,False,False,,,,,,,,,
2,6,"[2, 7, 2]",28,14,14,True,False,,,,,,,,,
2,6,"[2, 5, 2]",20,14,14,True,True,,,,,,,,,
3,6,"[2, 261, 296, 2]",78370,74,74,True,False,,,,,,,,,
3,6,"[2, 170, 104, 2]",18228,74,74,True,False,,,,,,,,,
3,6,"[2, 137, 161, 2]",22653,74,74,True,False,,,,,,,,,
3,6,"[2, 194, 16, 2]",3524,74,74,True,False,,,,,,,,,
3,6,"[2, 64, 19, 2]",1382,74,74,True,False,,,,,,,,,
3,6,"[2, 45, 186, 2]",8832,74,74,True,False,,,,,,,,,
3,6,"[2, 17, 162, 2]",3112,74,74,True,False,,,,,,,,,
3,6,"[2, 32, 119, 2]",4110,74,74,True,False,,,,,,,,,
3,6,"[2, 2, 72, 2]",292,16,74,False,False,,,,,,,,,
3,6,"[2, 46, 22, 2]",1148,74,74,True,False,,,,,,,,,
3,6,"[2, 29, 15, 2]",523,74,74,True,False,,,,,,,,,
3,6,"[2, 7, 284, 2]",2570,74,74,True,False,,,,,,,,,
3,6,"[2, 15, 241, 2]",4127,74,74,True,False,,,,,,,,,
3,6,"[2, 235, 2, 2]",944,16,74,False,False,,,,,,,,,
3,6,"[2, 205, 12, 2]",2894,74,74,True,False,,,,,,,,,
3,6,"[2, 253, 6, 2]",2036,48,74,False,False,,,,,,,,,
3,6,"[2, 128, 13, 2]",1946,74,74,True,False,,,,,,,,,
3,6,"[2, 19, 107, 2]",2285,74,74,True,False,,,,,,,,,
3,6,"[2, 63, 7, 2]",581,56,74,False,False,,,,,,,,,
3,6,"[2, 4, 290, 2]",1748,74,74,True,False,,,,,,,,,
3,6,"[2, 10, 212, 2]",2564,74,74,True,False,,,,,,,,,
3,6,"[2, 7, 226, 2]",2048,74,74,True,False,,,,,,,,,
3,6,"[2, 3, 34, 2]",176,57,74,False,False,,,,,,,,,
3,6,"[2, 13, 164, 2]",2486,74,74,True,False,,,,,,,,,
3,6,"[2, 9, 64, 2]",722,74,74,True,False,,,,,,,,,
3,6,"[2, 297, 2, 2]",1192,16,74,False,False,,,,,,,,,
3,6,"[2, 3, 86, 2]",436,57,74,False,False,,,,,,,,,
3,6,"[2, 2, 239, 2]",960,16,74,False,False,,,,,,,,,
3,6,"[2, 3, 226, 2]",1136,57,74,False,False,,,,,,,,,
3,6,"[2, 262, 7, 2]",2372,56,74,False,False,,,,,,,,,
3,6,"[2, 151, 8, 2]",1526,64,74,False,False,,,,,,,,,
3,6,"[2, 7, 18, 2]",176,74,74,True,False,,,,,,,,,
3,6,"[2, 298, 10, 2]",3596,74,74,True,False,,,,,,,,,
3,6,"[2, 21, 10, 2]",272,74,74,True,False,,,,,,,,,
3,6,"[2, 74, 9, 2]",832,72,74,False,False,,,,,,,,,
3,6,"[2, 17, 16, 2]",338,74,74,True,False,,,,,,,,,
3,6,"[2, 281, 4, 2]",1694,32,74,False,False,,,,,,,,,
3,6,"[2, 224, 8, 2]",2256,64,74,False,False,,,,,,,,,
3,6,"[2, 282, 3, 2]",1416,24,74,False,False,,,,,,,,,
3,6,"[2, 6, 56, 2]",460,74,74,True,False,,,,,,,,,
3,6,"[2, 4, 107, 2]",650,74,74,True,False,,,,,,,,,
3,6,"[2, 6, 40, 2]",332,74,74,True,False,,,,,,,,,
3,6,"[2, 2, 298, 2]",1196,16,74,False,False,,,,,,,,,
3,6,"[2, 5, 52, 2]",374,74,74,True,False,,,,,,,,,
3,6,"[2, 264, 8, 2]",2656,64,74,False,False,,,,,,,,,
3,6,"[2, 4, 33, 2]",206,74,74,True,False,,,,,,,,,
3,6,"[2, 155, 9, 2]",1723,72,74,False,False,,,,,,,,,
3,6,"[2, 289, 8, 2]",2906,64,74,False,False,,,,,,,,,
3,6,"[2, 197, 9, 2]",2185,72,74,False,False,,,,,,,,,
3,6,"[2, 3, 228, 2]",1146,57,74,False,False,,,,,,,,,
3,6,"[2, 18, 14, 2]",316,74,74,True,False,,,,,,,,,
