h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal
2,9,"[1, 70, 4]",350,4,4,True,False
2,9,"[1, 9, 4]",45,4,4,True,False
2,9,"[1, 5, 4]",25,4,4,True,False
2,9,"[1, 4, 4]",20,4,4,True,False
2,9,"[1, 2, 4]",10,4,4,True,True
3,9,"[1, 34, 294, 4]",11206,4,4,True,False
3,9,"[1, 120, 72, 4]",9048,4,4,True,False
3,9,"[1, 174, 32, 4]",5870,4,4,True,False
3,9,"[1, 172, 11, 4]",2108,4,4,True,False
3,9,"[1, 62, 41, 4]",2768,4,4,True,False
3,9,"[1, 24, 247, 4]",6940,4,4,True,False
3,9,"[1, 60, 58, 4]",3772,4,4,True,False
3,9,"[1, 25, 125, 4]",3650,4,4,True,False
3,9,"[1, 9, 78, 4]",1023,4,4,True,False
3,9,"[1, 216, 3, 4]",876,4,4,True,False
3,9,"[1, 56, 61, 4]",3716,4,4,True,False
3,9,"[1, 7, 129, 4]",1426,4,4,True,False
3,9,"[1, 2, 294, 4]",1766,4,4,True,False
3,9,"[1, 3, 202, 4]",1417,4,4,True,False
3,9,"[1, 37, 68, 4]",2825,4,4,True,False
3,9,"[1, 26, 73, 4]",2216,4,4,True,False
3,9,"[1, 117, 27, 4]",3384,4,4,True,False
3,9,"[1, 90, 10, 4]",1030,4,4,True,False
3,9,"[1, 69, 32, 4]",2405,4,4,True,False
3,9,"[1, 291, 2, 4]",881,4,4,True,False
3,9,"[1, 38, 56, 4]",2390,4,4,True,False
3,9,"[1, 132, 3, 4]",540,4,4,True,False
3,9,"[1, 56, 20, 4]",1256,4,4,True,False
3,9,"[1, 73, 7, 4]",612,4,4,True,False
3,9,"[1, 16, 59, 4]",1196,4,4,True,False
3,9,"[1, 4, 35, 4]",284,4,4,True,False
3,9,"[1, 53, 8, 4]",509,4,4,True,False
3,9,"[1, 84, 4, 4]",436,4,4,True,False
3,9,"[1, 3, 21, 4]",150,4,4,True,False
3,9,"[1, 15, 14, 4]",281,4,4,True,False
3,9,"[1, 6, 15, 4]",156,4,4,True,False
3,9,"[1, 39, 10, 4]",469,4,4,True,False
3,9,"[1, 119, 3, 4]",488,4,4,True,False
3,9,"[1, 2, 23, 4]",140,4,4,True,False
3,9,"[1, 41, 4, 4]",221,4,4,True,False
3,9,"[1, 30, 8, 4]",302,4,4,True,False
3,9,"[1, 29, 10, 4]",359,4,4,True,False
3,9,"[1, 151, 2, 4]",461,4,4,True,False
3,9,"[1, 5, 17, 4]",158,4,4,True,False
3,9,"[1, 87, 3, 4]",360,4,4,True,False
3,9,"[1, 39, 2, 4]",125,4,4,True,False
3,9,"[1, 3, 16, 4]",115,4,4,True,False
3,9,"[1, 24, 5, 4]",164,4,4,True,False
3,9,"[1, 12, 10, 4]",172,4,4,True,False
3,9,"[1, 8, 4, 4]",56,4,4,True,False
3,9,"[1, 4, 9, 4]",76,4,4,True,False
3,9,"[1, 4, 3, 4]",28,4,4,True,False
3,9,"[1, 36, 2, 4]",116,4,4,True,False
3,9,"[1, 2, 17, 4]",104,4,4,True,False
3,9,"[1, 17, 2, 4]",59,4,4,True,False
3,9,"[1, 11, 2, 4]",41,4,4,True,False
3,9,"[1, 3, 7, 4]",52,4,4,True,False
3,9,"[1, 3, 5, 4]",38,4,4,True,False
3,9,"[1, 3, 2, 4]",17,4,4,True,False
3,9,"[1, 2, 12, 4]",74,4,4,True,False
3,9,"[1, 2, 2, 4]",14,4,4,True,True
