h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal
2,2,"[1, 250, 5]",1500,5,5,True,False
2,2,"[1, 70, 5]",420,5,5,True,False
2,2,"[1, 18, 5]",108,5,5,True,False
2,2,"[1, 9, 5]",54,5,5,True,False
2,2,"[1, 7, 5]",42,5,5,True,False
2,2,"[1, 6, 5]",36,5,5,True,False
2,2,"[1, 2, 5]",12,5,5,True,True
3,2,"[1, 157, 231, 5]",37579,5,5,True,False
3,2,"[1, 126, 37, 5]",4973,5,5,True,False
3,2,"[1, 32, 41, 5]",1549,5,5,True,False
3,2,"[1, 21, 55, 5]",1451,5,5,True,False
3,2,"[1, 226, 21, 5]",5077,5,5,True,False
3,2,"[1, 142, 23, 5]",3523,5,5,True,False
3,2,"[1, 101, 4, 5]",525,5,5,True,False
3,2,"[1, 16, 251, 5]",5287,5,5,True,False
3,2,"[1, 68, 23, 5]",1747,5,5,True,False
3,2,"[1, 9, 75, 5]",1059,5,5,True,False
3,2,"[1, 5, 291, 5]",2915,5,5,True,False
3,2,"[1, 4, 140, 5]",1264,5,5,True,False
3,2,"[1, 17, 31, 5]",699,5,5,True,False
3,2,"[1, 41, 8, 5]",409,5,5,True,False
3,2,"[1, 94, 2, 5]",292,5,5,True,False
3,2,"[1, 38, 20, 5]",898,5,5,True,False
3,2,"[1, 6, 131, 5]",1447,5,5,True,False
3,2,"[1, 34, 19, 5]",775,5,5,True,False
3,2,"[1, 83, 2, 5]",259,5,5,True,False
3,2,"[1, 6, 126, 5]",1392,5,5,True,False
3,2,"[1, 18, 14, 5]",340,5,5,True,False
3,2,"[1, 35, 7, 5]",315,5,5,True,False
3,2,"[1, 3, 41, 5]",331,5,5,True,False
3,2,"[1, 9, 13, 5]",191,5,5,True,False
3,2,"[1, 2, 273, 5]",1913,5,5,True,False
3,2,"[1, 59, 3, 5]",251,5,5,True,False
3,2,"[1, 22, 2, 5]",76,5,5,True,False
3,2,"[1, 2, 146, 5]",1024,5,5,True,False
3,2,"[1, 15, 7, 5]",155,5,5,True,False
3,2,"[1, 10, 5, 5]",85,5,5,True,False
3,2,"[1, 5, 31, 5]",315,5,5,True,False
3,2,"[1, 3, 17, 5]",139,5,5,True,False
3,2,"[1, 2, 127, 5]",891,5,5,True,False
3,2,"[1, 2, 76, 5]",534,5,5,True,False
3,2,"[1, 21, 2, 5]",73,5,5,True,False
3,2,"[1, 4, 8, 5]",76,5,5,True,False
3,2,"[1, 7, 6, 5]",79,5,5,True,False
3,2,"[1, 3, 11, 5]",91,5,5,True,False
3,2,"[1, 2, 17, 5]",121,5,5,True,False
3,2,"[1, 12, 3, 5]",63,5,5,True,False
3,2,"[1, 2, 4, 5]",30,5,5,True,False
3,2,"[1, 13, 2, 5]",49,5,5,True,False
3,2,"[1, 4, 2, 5]",22,5,5,True,False
3,2,"[1, 3, 3, 5]",27,5,5,True,False
3,2,"[1, 2, 2, 5]",16,5,5,True,True
