h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa
2.0,4.0,"[2, 66, 7]",594.0,35.0,35.0,True,False,,,,,,,,
2.0,4.0,"[2, 45, 7]",405.0,35.0,35.0,True,False,,,,,,,,
2.0,4.0,"[2, 25, 7]",225.0,35.0,35.0,True,False,,,,,,,,
2.0,4.0,"[2, 10, 7]",90.0,35.0,35.0,True,False,,,,,,,,
2.0,4.0,"[2, 8, 7]",72.0,35.0,35.0,True,False,,,,,,,,
2.0,4.0,"[2, 5, 7]",45.0,35.0,35.0,True,True,,,,,,,,
2.0,4.0,"[2, 4, 7]",36.0,32.0,35.0,False,False,,,,,,,,
3.0,4.0,"[2, 122, 150, 7]",19594.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 64, 168, 7]",12056.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 187, 51, 7]",10268.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 230, 48, 7]",11836.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 2, 258, 7]",2326.0,37.0,119.0,False,False,,,,,,,,
3.0,4.0,"[2, 175, 116, 7]",21462.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 220, 31, 7]",7477.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 14, 157, 7]",3325.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 172, 57, 7]",10547.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 155, 125, 7]",20560.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 104, 111, 7]",12529.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 62, 14, 7]",1090.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 44, 112, 7]",5800.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 246, 4, 7]",1504.0,44.0,119.0,False,False,,,,,,,,
3.0,4.0,"[2, 3, 196, 7]",1966.0,101.0,119.0,False,False,,,,,,,,
3.0,4.0,"[2, 156, 12, 7]",2268.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 223, 9, 7]",2516.0,99.0,119.0,False,False,,,,,,,,
3.0,4.0,"[2, 31, 49, 7]",1924.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 29, 118, 7]",4306.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 159, 11, 7]",2144.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 17, 117, 7]",2842.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 235, 10, 7]",2890.0,110.0,119.0,False,False,,,,,,,,
3.0,4.0,"[2, 12, 291, 7]",5553.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 13, 172, 7]",3466.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 22, 102, 7]",3002.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 14, 141, 7]",2989.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 43, 40, 7]",2086.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 24, 75, 7]",2373.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 11, 180, 7]",3262.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 6, 154, 7]",2014.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 13, 105, 7]",2126.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 15, 51, 7]",1152.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 236, 10, 7]",2902.0,110.0,119.0,False,False,,,,,,,,
3.0,4.0,"[2, 119, 11, 7]",1624.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 40, 15, 7]",785.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 11, 117, 7]",2128.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 4, 206, 7]",2274.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 38, 40, 7]",1876.0,119.0,119.0,True,False,,,,,,,,
3.0,4.0,"[2, 278, 3, 7]",1411.0,33.0,119.0,False,False,,,,,,,,
