h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers
2,11,"[2, 10, 3]",50,36,36,True,False,,,,,,,,,
2,11,"[2, 9, 3]",45,36,36,True,True,,,,,,,,,
2,11,"[2, 8, 3]",40,32,36,False,False,,,,,,,,,
3,11,"[2, 110, 5, 3]",785,70,366,False,False,,,,,,,,,
3,11,"[2, 95, 11, 3]",1268,154,366,False,False,,,,,,,,,
3,11,"[2, 102, 10, 3]",1254,140,366,False,False,,,,,,,,,
3,11,"[2, 65, 12, 3]",946,168,366,False,False,,,,,,,,,
3,11,"[2, 114, 2, 3]",462,28,366,False,False,,,,,,,,,
3,11,"[2, 110, 11, 3]",1463,154,366,False,False,,,,,,,,,
3,11,"[2, 118, 9, 3]",1325,126,366,False,False,,,,,,,,,
3,11,"[2, 119, 5, 3]",848,70,366,False,False,,,,,,,,,
3,11,"[2, 122, 1, 3]",369,14,366,False,False,,,,,,,,,
3,11,"[2, 122, 12, 3]",1744,168,366,False,False,,,,,,,,,
