h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal
2,7,"[1, 280, 9]",2800,9,9,True,False,,,,,,,,,,True
2,7,"[1, 191, 9]",1910,9,9,True,False,,,,,,,,,,True
2,7,"[1, 115, 9]",1150,9,9,True,False,,,,,,,,,,True
2,7,"[1, 75, 9]",750,9,9,True,False,,,,,,,,,,True
2,7,"[1, 59, 9]",590,9,9,True,False,,,,,,,,,,True
2,7,"[1, 2, 9]",20,9,9,True,False,,,,,,,,,,True
3,7,"[1, 235, 282, 9]",69043,9,9,True,False,,,,,,,,,,True
3,7,"[1, 240, 42, 9]",10698,9,9,True,False,,,,,,,,,,True
3,7,"[1, 71, 237, 9]",19031,9,9,True,False,,,,,,,,,,True
3,7,"[1, 175, 190, 9]",35135,9,9,True,False,,,,,,,,,,True
3,7,"[1, 204, 130, 9]",27894,9,9,True,False,,,,,,,,,,True
3,7,"[1, 90, 221, 9]",21969,9,9,True,False,,,,,,,,,,True
3,7,"[1, 131, 37, 9]",5311,9,9,True,False,,,,,,,,,,True
3,7,"[1, 49, 69, 9]",4051,9,9,True,False,,,,,,,,,,True
3,7,"[1, 40, 295, 9]",14495,9,9,True,False,,,,,,,,,,True
3,7,"[1, 8, 193, 9]",3289,9,9,True,False,,,,,,,,,,True
3,7,"[1, 58, 34, 9]",2336,9,9,True,False,,,,,,,,,,True
3,7,"[1, 7, 189, 9]",3031,9,9,True,False,,,,,,,,,,True
3,7,"[1, 12, 148, 9]",3120,9,9,True,False,,,,,,,,,,True
3,7,"[1, 14, 60, 9]",1394,9,9,True,False,,,,,,,,,,True
3,7,"[1, 296, 16, 9]",5176,9,9,True,False,,,,,,,,,,True
3,7,"[1, 201, 22, 9]",4821,9,9,True,False,,,,,,,,,,True
3,7,"[1, 163, 10, 9]",1883,9,9,True,False,,,,,,,,,,True
3,7,"[1, 13, 71, 9]",1575,9,9,True,False,,,,,,,,,,True
3,7,"[1, 6, 166, 9]",2496,9,9,True,False,,,,,,,,,,True
3,7,"[1, 286, 3, 9]",1171,9,9,True,False,,,,,,,,,,False
3,7,"[1, 117, 29, 9]",3771,9,9,True,False,,,,,,,,,,True
3,7,"[1, 35, 31, 9]",1399,9,9,True,False,,,,,,,,,,True
3,7,"[1, 141, 25, 9]",3891,9,9,True,False,,,,,,,,,,True
3,7,"[1, 138, 19, 9]",2931,9,9,True,False,,,,,,,,,,True
3,7,"[1, 174, 4, 9]",906,9,9,True,False,,,,,,,,,,False
3,7,"[1, 3, 173, 9]",2079,9,9,True,False,,,,,,,,,,True
3,7,"[1, 128, 7, 9]",1087,9,9,True,False,,,,,,,,,,False
3,7,"[1, 24, 51, 9]",1707,9,9,True,False,,,,,,,,,,True
3,7,"[1, 124, 2, 9]",390,9,9,True,False,,,,,,,,,,False
3,7,"[1, 71, 8, 9]",711,9,9,True,False,,,,,,,,,,False
3,7,"[1, 2, 297, 9]",3269,9,9,True,False,,,,,,,,,,True
3,7,"[1, 12, 99, 9]",2091,9,9,True,False,,,,,,,,,,True
3,7,"[1, 27, 26, 9]",963,9,9,True,False,,,,,,,,,,True
3,7,"[1, 21, 19, 9]",591,9,9,True,False,,,,,,,,,,True
3,7,"[1, 16, 28, 9]",716,9,9,True,False,,,,,,,,,,True
3,7,"[1, 70, 17, 9]",1413,9,9,True,False,,,,,,,,,,True
3,7,"[1, 10, 116, 9]",2214,9,9,True,False,,,,,,,,,,True
3,7,"[1, 6, 108, 9]",1626,9,9,True,False,,,,,,,,,,True
3,7,"[1, 13, 55, 9]",1223,9,9,True,False,,,,,,,,,,True
3,7,"[1, 30, 12, 9]",498,9,9,True,False,,,,,,,,,,True
3,7,"[1, 105, 6, 9]",789,9,9,True,False,,,,,,,,,,False
3,7,"[1, 21, 11, 9]",351,9,9,True,False,,,,,,,,,,True
3,7,"[1, 6, 61, 9]",921,9,9,True,False,,,,,,,,,,True
3,7,"[1, 47, 5, 9]",327,9,9,True,False,,,,,,,,,,False
3,7,"[1, 2, 256, 9]",2818,9,9,True,False,,,,,,,,,,True
3,7,"[1, 20, 9, 9]",281,9,9,True,False,,,,,,,,,,True
3,7,"[1, 10, 2, 9]",48,9,9,True,False,,,,,,,,,,False
3,7,"[1, 2, 204, 9]",2246,9,9,True,False,,,,,,,,,,True
3,7,"[1, 5, 71, 9]",999,9,9,True,False,,,,,,,,,,True
3,7,"[1, 3, 159, 9]",1911,9,9,True,False,,,,,,,,,,True
3,7,"[1, 3, 33, 9]",399,9,9,True,False,,,,,,,,,,True
3,7,"[1, 2, 65, 9]",717,9,9,True,False,,,,,,,,,,True
3,7,"[1, 7, 13, 9]",215,9,9,True,False,,,,,,,,,,True
3,7,"[1, 8, 12, 9]",212,9,9,True,False,,,,,,,,,,True
3,7,"[1, 7, 3, 9]",55,9,9,True,False,,,,,,,,,,False
3,7,"[1, 3, 2, 9]",27,9,9,True,False,,,,,,,,,,False
3,7,"[1, 2, 40, 9]",442,9,9,True,False,,,,,,,,,,True
3,7,"[1, 2, 36, 9]",398,9,9,True,False,,,,,,,,,,True
3,7,"[1, 2, 21, 9]",233,9,9,True,False,,,,,,,,,,True
3,7,"[1, 2, 8, 9]",90,9,9,True,False,,,,,,,,,,True
3,7,"[1, 2, 4, 9]",46,9,9,True,False,,,,,,,,,,True
3,7,"[1, 2, 2, 9]",24,9,9,True,False,,,,,,,,,,True
2,7,"[1, 1, 9]",10,9,9,True,True,,,,,,,,,,True
3,7,"[1, 1, 14, 9]",141,9,9,True,False,,,,,,,,,,True
3,7,"[1, 226, 1, 9]",461,9,9,True,False,,,,,,,,,,False
3,7,"[1, 202, 1, 9]",413,9,9,True,False,,,,,,,,,,False
3,7,"[1, 20, 1, 9]",49,9,9,True,False,,,,,,,,,,False
3,7,"[1, 1, 4, 9]",41,9,9,True,False,,,,,,,,,,True
