h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal
2,11,"[2, 8, 1]",24,12,12,True,False
2,11,"[2, 6, 1]",18,12,12,True,True
2,11,"[2, 5, 1]",15,10,12,False,False
3,11,"[2, 116, 12, 1]",1636,122,122,True,False
3,11,"[2, 33, 10, 1]",406,120,122,False,False
3,11,"[2, 89, 9, 1]",988,108,122,False,False
3,11,"[2, 35, 11, 1]",466,122,122,True,False
3,11,"[2, 117, 8, 1]",1178,96,122,False,False
3,11,"[2, 116, 10, 1]",1402,120,122,False,False
3,11,"[2, 22, 11, 1]",297,122,122,True,False
3,11,"[2, 119, 10, 1]",1438,120,122,False,False
3,11,"[2, 121, 10, 1]",1462,120,122,False,False
3,11,"[2, 15, 12, 1]",222,122,122,True,False
3,11,"[2, 12, 12, 1]",180,122,122,True,False
3,11,"[2, 10, 11, 1]",141,120,122,False,False
3,11,"[2, 10, 12, 1]",152,122,122,True,True
3,11,"[2, 9, 12, 1]",138,117,122,False,False
3,11,"[2, 11, 11, 1]",154,122,122,True,True
4,11,"[2, 81, 88, 2, 1]",7468,244,1332,False,False
4,11,"[2, 32, 75, 10, 1]",3224,1220,1332,False,False
4,11,"[2, 87, 107, 12, 1]",10779,1332,1332,True,False
4,11,"[2, 65, 98, 1, 1]",6599,122,1332,False,False
4,11,"[2, 54, 105, 8, 1]",6626,976,1332,False,False
4,11,"[2, 93, 100, 7, 1]",10193,854,1332,False,False
4,11,"[2, 97, 58, 4, 1]",6056,488,1332,False,False
4,11,"[2, 55, 65, 11, 1]",4411,1332,1332,True,False
4,11,"[2, 4, 117, 11, 1]",1774,1332,1332,True,False
4,11,"[2, 71, 73, 10, 1]",6065,1220,1332,False,False
4,11,"[2, 56, 26, 12, 1]",1892,598,1332,False,False
4,11,"[2, 3, 107, 11, 1]",1515,850,1332,False,False
4,11,"[2, 13, 95, 12, 1]",2413,1332,1332,True,False
4,11,"[2, 116, 111, 2, 1]",13332,244,1332,False,False
4,11,"[2, 113, 38, 4, 1]",4676,488,1332,False,False
4,11,"[2, 96, 19, 9, 1]",2196,380,1332,False,False
4,11,"[2, 104, 70, 6, 1]",7914,732,1332,False,False
4,11,"[2, 87, 78, 9, 1]",7671,1098,1332,False,False
4,11,"[2, 118, 24, 2, 1]",3118,244,1332,False,False
4,11,"[2, 94, 30, 8, 1]",3256,570,1332,False,False
4,11,"[2, 99, 26, 12, 1]",3096,598,1332,False,False
4,11,"[2, 112, 78, 6, 1]",9434,732,1332,False,False
4,11,"[2, 119, 80, 6, 1]",10244,732,1332,False,False
4,11,"[2, 31, 39, 11, 1]",1711,858,1332,False,False
4,11,"[2, 86, 117, 7, 1]",11060,854,1332,False,False
4,11,"[2, 7, 79, 11, 1]",1447,1332,1332,True,False
4,11,"[2, 50, 44, 12, 1]",2840,1012,1332,False,False
4,11,"[2, 53, 119, 1, 1]",6533,122,1332,False,False
4,11,"[2, 72, 122, 7, 1]",9789,854,1332,False,False
4,11,"[2, 91, 98, 9, 1]",9991,1098,1332,False,False
4,11,"[2, 36, 114, 10, 1]",5326,1220,1332,False,False
4,11,"[2, 103, 87, 6, 1]",9695,732,1332,False,False
4,11,"[2, 93, 37, 10, 1]",4007,777,1332,False,False
4,11,"[2, 19, 56, 11, 1]",1729,1232,1332,False,False
4,11,"[2, 102, 59, 9, 1]",6762,1098,1332,False,False
4,11,"[2, 101, 106, 5, 1]",11443,610,1332,False,False
4,11,"[2, 121, 43, 6, 1]",5709,731,1332,False,False
4,11,"[2, 71, 92, 10, 1]",7604,1220,1332,False,False
4,11,"[2, 98, 62, 7, 1]",6713,854,1332,False,False
4,11,"[2, 77, 119, 6, 1]",10037,732,1332,False,False
4,11,"[2, 112, 121, 1, 1]",13898,122,1332,False,False
4,11,"[2, 22, 58, 11, 1]",1969,1276,1332,False,False
4,11,"[2, 25, 66, 12, 1]",2504,1332,1332,True,False
4,11,"[2, 22, 63, 11, 1]",2134,1332,1332,True,False
4,11,"[2, 54, 97, 10, 1]",6326,1220,1332,False,False
4,11,"[2, 118, 68, 7, 1]",8743,854,1332,False,False
4,11,"[2, 108, 32, 10, 1]",4002,672,1332,False,False
4,11,"[2, 117, 103, 8, 1]",13117,976,1332,False,False
4,11,"[2, 111, 26, 11, 1]",3405,572,1332,False,False
4,11,"[2, 102, 110, 8, 1]",12312,976,1332,False,False
4,11,"[2, 11, 121, 10, 1]",2573,1220,1332,False,False
4,11,"[2, 106, 46, 10, 1]",5558,966,1332,False,False
4,11,"[2, 83, 74, 10, 1]",7058,1220,1332,False,False
4,11,"[2, 117, 17, 12, 1]",2439,391,1332,False,False
4,11,"[2, 121, 37, 10, 1]",5099,777,1332,False,False
4,11,"[2, 30, 56, 11, 1]",2367,1232,1332,False,False
4,11,"[2, 109, 87, 10, 1]",10581,1220,1332,False,False
4,11,"[2, 97, 114, 2, 1]",11482,244,1332,False,False
4,11,"[2, 32, 60, 12, 1]",2716,1332,1332,True,False
4,11,"[2, 103, 52, 12, 1]",6198,1196,1332,False,False
4,11,"[2, 117, 90, 10, 1]",11674,1220,1332,False,False
4,11,"[2, 107, 112, 3, 1]",12537,366,1332,False,False
4,11,"[2, 110, 106, 7, 1]",12629,854,1332,False,False
4,11,"[2, 88, 120, 4, 1]",11220,488,1332,False,False
4,11,"[2, 113, 121, 6, 1]",14631,732,1332,False,False
