h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa
2.0,1.0,"[2, 167, 4]",1002.0,8.0,8.0,True,False,,,,,,,,
2.0,1.0,"[2, 108, 4]",648.0,8.0,8.0,True,False,,,,,,,,
2.0,1.0,"[2, 25, 4]",150.0,8.0,8.0,True,False,,,,,,,,
2.0,1.0,"[2, 24, 4]",144.0,8.0,8.0,True,False,,,,,,,,
2.0,1.0,"[2, 10, 4]",60.0,8.0,8.0,True,False,,,,,,,,
2.0,1.0,"[2, 6, 4]",36.0,8.0,8.0,True,False,,,,,,,,
2.0,1.0,"[2, 2, 4]",12.0,8.0,8.0,True,True,,,,,,,,
3.0,1.0,"[2, 241, 277, 4]",68347.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 21, 159, 4]",4017.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 257, 76, 4]",20350.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 91, 118, 4]",11392.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 79, 83, 4]",7047.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 250, 47, 4]",12438.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 239, 14, 4]",3880.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 24, 58, 4]",1672.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 90, 45, 4]",4410.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 9, 125, 4]",1643.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 218, 33, 4]",7762.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 66, 52, 4]",3772.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 26, 54, 4]",1672.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 57, 29, 4]",1883.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 8, 83, 4]",1012.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 211, 15, 4]",3647.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 42, 47, 4]",2246.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 125, 17, 4]",2443.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 202, 3, 4]",1022.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 122, 23, 4]",3142.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 73, 19, 4]",1609.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 118, 11, 4]",1578.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 3, 49, 4]",349.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 2, 27, 4]",166.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 55, 21, 4]",1349.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 194, 10, 4]",2368.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 258, 2, 4]",1040.0,8.0,8.0,True,False,,,,,,,,
3.0,1.0,"[2, 96, 17, 4]",1892.0,8.0,8.0,True,False,,,,,,,,
