h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal
2,2,"[4, 23, 1]",115,10,10,True,False
2,2,"[4, 12, 1]",60,10,10,True,False
2,2,"[4, 6, 1]",30,10,10,True,False
2,2,"[4, 4, 1]",20,10,10,True,True
2,2,"[4, 3, 1]",15,9,10,False,False
3,2,"[4, 54, 17, 1]",1151,35,35,True,False
3,2,"[4, 45, 47, 1]",2342,35,35,True,False
3,2,"[4, 25, 44, 1]",1244,35,35,True,False
3,2,"[4, 48, 14, 1]",878,35,35,True,False
3,2,"[4, 17, 20, 1]",428,35,35,True,False
3,2,"[4, 6, 46, 1]",346,35,35,True,False
3,2,"[4, 7, 31, 1]",276,35,35,True,False
3,2,"[4, 42, 3, 1]",297,27,35,False,False
3,2,"[4, 3, 48, 1]",204,15,35,False,False
3,2,"[4, 43, 9, 1]",568,35,35,True,False
3,2,"[4, 30, 11, 1]",461,35,35,True,False
3,2,"[4, 6, 22, 1]",178,35,35,True,False
3,2,"[4, 14, 12, 1]",236,35,35,True,False
3,2,"[4, 20, 4, 1]",164,34,35,False,False
3,2,"[4, 17, 7, 1]",194,35,35,True,False
3,2,"[4, 10, 7, 1]",117,35,35,True,False
3,2,"[4, 7, 19, 1]",180,35,35,True,False
3,2,"[4, 20, 5, 1]",185,35,35,True,False
3,2,"[4, 5, 22, 1]",152,30,35,False,False
3,2,"[4, 8, 11, 1]",131,35,35,True,False
3,2,"[4, 14, 5, 1]",131,35,35,True,False
3,2,"[4, 9, 10, 1]",136,35,35,True,False
3,2,"[4, 44, 4, 1]",356,34,35,False,False
3,2,"[4, 8, 9, 1]",113,35,35,True,False
3,2,"[4, 7, 10, 1]",108,35,35,True,False
3,2,"[4, 4, 34, 1]",186,22,35,False,False
3,2,"[4, 48, 3, 1]",339,27,35,False,False
3,2,"[4, 4, 38, 1]",206,22,35,False,False
3,2,"[4, 6, 12, 1]",108,35,35,True,False
3,2,"[4, 4, 48, 1]",256,22,35,False,False
3,2,"[4, 49, 4, 1]",396,34,35,False,False
3,2,"[4, 8, 7, 1]",95,35,35,True,False
3,2,"[4, 5, 34, 1]",224,30,35,False,False
3,2,"[4, 5, 39, 1]",254,30,35,False,False
3,2,"[4, 5, 40, 1]",260,30,35,False,False
3,2,"[4, 3, 49, 1]",208,15,35,False,False
3,2,"[4, 4, 50, 1]",266,22,35,False,False
