h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa
2.0,7.0,"[2, 284, 3]",1420.0,24.0,24.0,True,False,,,,,,,,
2.0,7.0,"[2, 7, 3]",35.0,24.0,24.0,True,False,,,,,,,,
2.0,7.0,"[2, 6, 3]",30.0,24.0,24.0,True,True,,,,,,,,
2.0,7.0,"[2, 5, 3]",25.0,20.0,24.0,False,False,,,,,,,,
3.0,7.0,"[2, 284, 175, 3]",50793.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 83, 172, 3]",14958.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 190, 27, 3]",5591.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 5, 256, 3]",2058.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 123, 43, 3]",5664.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 147, 21, 3]",3444.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 108, 107, 3]",12093.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 35, 137, 3]",5276.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 14, 231, 3]",3955.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 118, 93, 3]",11489.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 78, 61, 3]",5097.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 50, 78, 3]",4234.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 110, 29, 3]",3497.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 48, 109, 3]",5655.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 44, 77, 3]",3707.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 7, 26, 3]",274.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 250, 1, 3]",753.0,10.0,150.0,False,False,,,,,,,,
3.0,7.0,"[2, 22, 11, 3]",319.0,110.0,150.0,False,False,,,,,,,,
3.0,7.0,"[2, 95, 17, 3]",1856.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 228, 15, 3]",3921.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 254, 2, 3]",1022.0,20.0,150.0,False,False,,,,,,,,
3.0,7.0,"[2, 3, 100, 3]",606.0,108.0,150.0,False,False,,,,,,,,
3.0,7.0,"[2, 79, 18, 3]",1634.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 4, 87, 3]",617.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 2, 103, 3]",519.0,26.0,150.0,False,False,,,,,,,,
3.0,7.0,"[2, 160, 16, 3]",2928.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 181, 15, 3]",3122.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 85, 7, 3]",786.0,70.0,150.0,False,False,,,,,,,,
3.0,7.0,"[2, 193, 11, 3]",2542.0,110.0,150.0,False,False,,,,,,,,
3.0,7.0,"[2, 9, 21, 3]",270.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 33, 20, 3]",786.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 223, 12, 3]",3158.0,120.0,150.0,False,False,,,,,,,,
3.0,7.0,"[2, 48, 16, 3]",912.0,150.0,150.0,True,False,,,,,,,,
3.0,7.0,"[2, 274, 13, 3]",4149.0,130.0,150.0,False,False,,,,,,,,
3.0,7.0,"[2, 52, 14, 3]",874.0,140.0,150.0,False,False,,,,,,,,
3.0,7.0,"[2, 3, 286, 3]",1722.0,108.0,150.0,False,False,,,,,,,,
