h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal
2,6,"[1, 107, 5]",642,5,5,True,False
2,6,"[1, 99, 5]",594,5,5,True,False
2,6,"[1, 93, 5]",558,5,5,True,False
2,6,"[1, 75, 5]",450,5,5,True,False
2,6,"[1, 51, 5]",306,5,5,True,False
2,6,"[1, 44, 5]",264,5,5,True,False
2,6,"[1, 38, 5]",228,5,5,True,False
2,6,"[1, 11, 5]",66,5,5,True,False
2,6,"[1, 4, 5]",24,5,5,True,False
2,6,"[1, 2, 5]",12,5,5,True,True
3,6,"[1, 27, 167, 5]",5371,5,5,True,False
3,6,"[1, 119, 105, 5]",13139,5,5,True,False
3,6,"[1, 34, 152, 5]",5962,5,5,True,False
3,6,"[1, 106, 84, 5]",9430,5,5,True,False
3,6,"[1, 173, 56, 5]",10141,5,5,True,False
3,6,"[1, 9, 241, 5]",3383,5,5,True,False
3,6,"[1, 139, 42, 5]",6187,5,5,True,False
3,6,"[1, 12, 11, 5]",199,5,5,True,False
3,6,"[1, 2, 51, 5]",359,5,5,True,False
3,6,"[1, 241, 7, 5]",1963,5,5,True,False
3,6,"[1, 155, 2, 5]",475,5,5,True,False
3,6,"[1, 5, 35, 5]",355,5,5,True,False
3,6,"[1, 68, 5, 5]",433,5,5,True,False
3,6,"[1, 61, 6, 5]",457,5,5,True,False
3,6,"[1, 105, 3, 5]",435,5,5,True,False
3,6,"[1, 42, 2, 5]",136,5,5,True,False
3,6,"[1, 8, 13, 5]",177,5,5,True,False
3,6,"[1, 4, 49, 5]",445,5,5,True,False
3,6,"[1, 7, 3, 5]",43,5,5,True,False
3,6,"[1, 3, 4, 5]",35,5,5,True,False
3,6,"[1, 2, 15, 5]",107,5,5,True,False
3,6,"[1, 24, 2, 5]",82,5,5,True,False
3,6,"[1, 2, 13, 5]",93,5,5,True,False
3,6,"[1, 23, 2, 5]",79,5,5,True,False
3,6,"[1, 7, 2, 5]",31,5,5,True,False
3,6,"[1, 4, 3, 5]",31,5,5,True,False
3,6,"[1, 3, 3, 5]",27,5,5,True,False
3,6,"[1, 2, 10, 5]",72,5,5,True,False
3,6,"[1, 4, 2, 5]",22,5,5,True,False
3,6,"[1, 3, 2, 5]",19,5,5,True,False
3,6,"[1, 2, 4, 5]",30,5,5,True,False
3,6,"[1, 2, 3, 5]",23,5,5,True,False
3,6,"[1, 2, 2, 5]",16,5,5,True,True
