h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa
2.0,3.0,"[2, 197, 6]",1576.0,24.0,24.0,True,False,,,,,,,,
2.0,3.0,"[2, 142, 6]",1136.0,24.0,24.0,True,False,,,,,,,,
2.0,3.0,"[2, 135, 6]",1080.0,24.0,24.0,True,False,,,,,,,,
2.0,3.0,"[2, 40, 6]",320.0,24.0,24.0,True,False,,,,,,,,
2.0,3.0,"[2, 23, 6]",184.0,24.0,24.0,True,False,,,,,,,,
2.0,3.0,"[2, 20, 6]",160.0,24.0,24.0,True,False,,,,,,,,
2.0,3.0,"[2, 3, 6]",24.0,21.0,24.0,False,False,,,,,,,,
2.0,3.0,"[2, 13, 6]",104.0,24.0,24.0,True,False,,,,,,,,
2.0,3.0,"[2, 12, 6]",96.0,24.0,24.0,True,False,,,,,,,,
2.0,3.0,"[2, 4, 6]",32.0,24.0,24.0,True,True,,,,,,,,
3.0,3.0,"[2, 188, 234, 6]",45772.0,60.0,60.0,True,False,,,,,,,,
3.0,3.0,"[2, 7, 8, 6]",118.0,60.0,60.0,True,False,,,,,,,,
3.0,3.0,"[2, 6, 63, 6]",768.0,60.0,60.0,True,False,,,,,,,,
3.0,3.0,"[2, 125, 2, 6]",512.0,18.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 135, 2, 6]",552.0,18.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 4, 109, 6]",1098.0,60.0,60.0,True,False,,,,,,,,
3.0,3.0,"[2, 4, 108, 6]",1088.0,60.0,60.0,True,False,,,,,,,,
3.0,3.0,"[2, 152, 2, 6]",620.0,18.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 71, 3, 6]",373.0,27.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 288, 7, 6]",2634.0,60.0,60.0,True,False,,,,,,,,
3.0,3.0,"[2, 125, 6, 6]",1036.0,54.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 3, 130, 6]",1176.0,57.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 288, 5, 6]",2046.0,45.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 3, 147, 6]",1329.0,57.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 298, 5, 6]",2116.0,45.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 3, 193, 6]",1743.0,57.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 2, 273, 6]",2188.0,26.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 256, 6, 6]",2084.0,54.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 1, 284, 6]",1990.0,7.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 4, 27, 6]",278.0,60.0,60.0,True,False,,,,,,,,
3.0,3.0,"[2, 3, 230, 6]",2076.0,57.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 272, 7, 6]",2490.0,60.0,60.0,True,False,,,,,,,,
3.0,3.0,"[2, 59, 7, 6]",573.0,60.0,60.0,True,False,,,,,,,,
3.0,3.0,"[2, 3, 267, 6]",2409.0,57.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 6, 26, 6]",324.0,60.0,60.0,True,False,,,,,,,,
3.0,3.0,"[2, 6, 9, 6]",120.0,60.0,60.0,True,False,,,,,,,,
3.0,3.0,"[2, 3, 284, 6]",2562.0,57.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 261, 6, 6]",2124.0,54.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 4, 26, 6]",268.0,60.0,60.0,True,False,,,,,,,,
3.0,3.0,"[2, 43, 7, 6]",429.0,60.0,60.0,True,False,,,,,,,,
3.0,3.0,"[2, 2, 296, 6]",2372.0,26.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 273, 6, 6]",2220.0,54.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 5, 15, 6]",175.0,60.0,60.0,True,False,,,,,,,,
3.0,3.0,"[2, 4, 15, 6]",158.0,60.0,60.0,True,False,,,,,,,,
3.0,3.0,"[2, 8, 7, 6]",114.0,60.0,60.0,True,False,,,,,,,,
3.0,3.0,"[2, 275, 6, 6]",2236.0,54.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 300, 2, 6]",1212.0,18.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 3, 289, 6]",2607.0,57.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 281, 6, 6]",2284.0,54.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 295, 6, 6]",2396.0,54.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 3, 294, 6]",2652.0,57.0,60.0,False,False,,,,,,,,
3.0,3.0,"[2, 7, 7, 6]",105.0,60.0,60.0,True,False,,,,,,,,
