h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal
4,2,"[3, 1, 18, 11, 1]",230,3,45,False,False
4,2,"[3, 2, 18, 13, 1]",289,9,45,False,False
4,2,"[3, 4, 13, 9, 1]",190,42,45,False,False
4,2,"[3, 2, 18, 15, 1]",327,9,45,False,False
4,2,"[3, 6, 3, 18, 1]",108,21,45,False,False
4,2,"[3, 8, 18, 1, 1]",187,15,45,False,False
4,2,"[3, 17, 19, 1, 1]",394,15,45,False,False
4,2,"[3, 19, 3, 17, 1]",182,21,45,False,False
4,2,"[3, 4, 15, 12, 1]",264,42,45,False,False
4,2,"[3, 17, 19, 3, 1]",434,42,45,False,False
4,2,"[3, 17, 5, 10, 1]",196,40,45,False,False
4,2,"[3, 3, 19, 18, 1]",426,21,45,False,False
4,2,"[3, 1, 13, 20, 1]",296,3,45,False,False
4,2,"[3, 4, 11, 18, 1]",272,42,45,False,False
4,2,"[3, 18, 4, 19, 1]",221,30,45,False,False
4,2,"[3, 20, 2, 15, 1]",145,13,45,False,False
4,2,"[3, 18, 20, 2, 1]",456,29,45,False,False
4,2,"[3, 19, 17, 3, 1]",434,42,45,False,False
4,2,"[3, 4, 17, 8, 1]",224,42,45,False,False
4,2,"[3, 14, 5, 15, 1]",202,40,45,False,False
4,2,"[3, 4, 17, 14, 1]",332,42,45,False,False
4,2,"[3, 20, 4, 14, 1]",210,30,45,False,False
4,2,"[3, 19, 5, 7, 1]",194,40,45,False,False
4,2,"[3, 4, 18, 19, 1]",445,42,45,False,False
4,2,"[3, 3, 10, 20, 1]",259,21,45,False,False
4,2,"[3, 20, 4, 19, 1]",235,30,45,False,False
4,2,"[3, 5, 4, 20, 1]",135,30,45,False,False
4,2,"[3, 3, 20, 10, 1]",279,21,45,False,False
4,2,"[3, 17, 2, 20, 1]",145,13,45,False,False
4,2,"[3, 16, 5, 15, 1]",218,40,45,False,False
4,2,"[3, 20, 8, 2, 1]",238,29,45,False,False
4,2,"[3, 2, 20, 17, 1]",403,9,45,False,False
4,2,"[3, 19, 5, 13, 1]",230,40,45,False,False
4,2,"[3, 3, 20, 17, 1]",426,21,45,False,False
4,2,"[3, 13, 3, 20, 1]",158,21,45,False,False
4,2,"[3, 6, 5, 20, 1]",168,40,45,False,False
4,2,"[3, 15, 5, 19, 1]",234,40,45,False,False
4,2,"[3, 8, 4, 20, 1]",156,30,45,False,False
4,2,"[3, 13, 4, 20, 1]",191,30,45,False,False
4,2,"[3, 4, 19, 11, 1]",308,42,45,False,False
4,2,"[3, 1, 18, 20, 1]",401,3,45,False,False
4,2,"[3, 4, 20, 11, 1]",323,42,45,False,False
4,2,"[3, 20, 5, 6, 1]",196,40,45,False,False
4,2,"[3, 20, 19, 3, 1]",500,42,45,False,False
4,2,"[3, 18, 5, 19, 1]",258,40,45,False,False
4,2,"[3, 20, 5, 17, 1]",262,40,45,False,False
4,2,"[3, 2, 15, 20, 1]",356,9,45,False,False
4,2,"[3, 20, 1, 20, 1]",120,6,45,False,False
4,2,"[3, 4, 8, 20, 1]",224,42,45,False,False
4,2,"[3, 3, 11, 20, 1]",282,21,45,False,False
4,2,"[3, 17, 4, 20, 1]",219,30,45,False,False
4,2,"[3, 4, 19, 20, 1]",488,42,45,False,False
4,2,"[3, 4, 20, 16, 1]",428,42,45,False,False
4,2,"[3, 14, 20, 3, 1]",385,42,45,False,False
4,2,"[3, 12, 5, 20, 1]",216,40,45,False,False
4,2,"[3, 2, 20, 20, 1]",466,9,45,False,False
4,2,"[3, 18, 20, 3, 1]",477,42,45,False,False
4,2,"[3, 19, 5, 19, 1]",266,40,45,False,False
4,2,"[3, 4, 20, 20, 1]",512,42,45,False,False
4,2,"[3, 20, 5, 19, 1]",274,40,45,False,False
4,2,"[3, 17, 5, 20, 1]",256,40,45,False,False
4,2,"[3, 18, 3, 20, 1]",188,21,45,False,False
4,2,"[3, 20, 20, 1, 1]",481,15,45,False,False
4,2,"[3, 19, 3, 20, 1]",194,21,45,False,False
4,2,"[3, 20, 3, 20, 1]",200,21,45,False,False
4,2,"[3, 19, 20, 3, 1]",500,42,45,False,False
4,2,"[3, 19, 4, 20, 1]",233,30,45,False,False
4,2,"[3, 20, 5, 20, 1]",280,40,45,False,False
4,2,"[3, 20, 20, 3, 1]",523,42,45,False,False
2,2,"[3, 10, 1]",40,6,6,True,False
