h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal
2,1,"[1, 104, 7]",832,7,7,True,False,,,,,,,,,,True
2,1,"[1, 11, 7]",88,7,7,True,False,,,,,,,,,,True
2,1,"[1, 10, 7]",80,7,7,True,False,,,,,,,,,,True
2,1,"[1, 3, 7]",24,7,7,True,False,,,,,,,,,,True
2,1,"[1, 2, 7]",16,7,7,True,False,,,,,,,,,,True
3,1,"[1, 182, 197, 7]",37415,7,7,True,False,,,,,,,,,,True
3,1,"[1, 92, 169, 7]",16823,7,7,True,False,,,,,,,,,,True
3,1,"[1, 297, 39, 7]",12153,7,7,True,False,,,,,,,,,,True
3,1,"[1, 23, 262, 7]",7883,7,7,True,False,,,,,,,,,,True
3,1,"[1, 163, 37, 7]",6453,7,7,True,False,,,,,,,,,,True
3,1,"[1, 100, 76, 7]",8232,7,7,True,False,,,,,,,,,,True
3,1,"[1, 46, 247, 7]",13137,7,7,True,False,,,,,,,,,,True
3,1,"[1, 79, 123, 7]",10657,7,7,True,False,,,,,,,,,,True
3,1,"[1, 17, 224, 7]",5393,7,7,True,False,,,,,,,,,,True
3,1,"[1, 120, 56, 7]",7232,7,7,True,False,,,,,,,,,,True
3,1,"[1, 57, 87, 7]",5625,7,7,True,False,,,,,,,,,,True
3,1,"[1, 28, 207, 7]",7273,7,7,True,False,,,,,,,,,,True
3,1,"[1, 105, 13, 7]",1561,7,7,True,False,,,,,,,,,,True
3,1,"[1, 5, 70, 7]",845,7,7,True,False,,,,,,,,,,True
3,1,"[1, 279, 6, 7]",1995,7,7,True,False,,,,,,,,,,False
3,1,"[1, 3, 151, 7]",1513,7,7,True,False,,,,,,,,,,True
3,1,"[1, 37, 37, 7]",1665,7,7,True,False,,,,,,,,,,True
3,1,"[1, 97, 20, 7]",2177,7,7,True,False,,,,,,,,,,True
3,1,"[1, 82, 6, 7]",616,7,7,True,False,,,,,,,,,,False
3,1,"[1, 10, 54, 7]",928,7,7,True,False,,,,,,,,,,True
3,1,"[1, 40, 31, 7]",1497,7,7,True,False,,,,,,,,,,True
3,1,"[1, 109, 2, 7]",341,7,7,True,False,,,,,,,,,,False
3,1,"[1, 56, 15, 7]",1001,7,7,True,False,,,,,,,,,,True
3,1,"[1, 2, 179, 7]",1613,7,7,True,False,,,,,,,,,,True
3,1,"[1, 3, 36, 7]",363,7,7,True,False,,,,,,,,,,True
3,1,"[1, 6, 25, 7]",331,7,7,True,False,,,,,,,,,,True
3,1,"[1, 50, 5, 7]",335,7,7,True,False,,,,,,,,,,False
3,1,"[1, 93, 2, 7]",293,7,7,True,False,,,,,,,,,,False
3,1,"[1, 87, 3, 7]",369,7,7,True,False,,,,,,,,,,False
3,1,"[1, 6, 6, 7]",84,7,7,True,False,,,,,,,,,,True
3,1,"[1, 68, 4, 7]",368,7,7,True,False,,,,,,,,,,False
3,1,"[1, 5, 8, 7]",101,7,7,True,False,,,,,,,,,,True
3,1,"[1, 2, 109, 7]",983,7,7,True,False,,,,,,,,,,True
3,1,"[1, 19, 2, 7]",71,7,7,True,False,,,,,,,,,,False
3,1,"[1, 2, 60, 7]",542,7,7,True,False,,,,,,,,,,True
3,1,"[1, 18, 3, 7]",93,7,7,True,False,,,,,,,,,,False
3,1,"[1, 11, 2, 7]",47,7,7,True,False,,,,,,,,,,False
3,1,"[1, 4, 33, 7]",367,7,7,True,False,,,,,,,,,,True
3,1,"[1, 2, 47, 7]",425,7,7,True,False,,,,,,,,,,True
3,1,"[1, 3, 35, 7]",353,7,7,True,False,,,,,,,,,,True
3,1,"[1, 2, 8, 7]",74,7,7,True,False,,,,,,,,,,True
3,1,"[1, 3, 6, 7]",63,7,7,True,False,,,,,,,,,,True
3,1,"[1, 4, 5, 7]",59,7,7,True,False,,,,,,,,,,True
3,1,"[1, 8, 4, 7]",68,7,7,True,False,,,,,,,,,,False
3,1,"[1, 6, 3, 7]",45,7,7,True,False,,,,,,,,,,False
3,1,"[1, 10, 2, 7]",44,7,7,True,False,,,,,,,,,,False
3,1,"[1, 5, 2, 7]",29,7,7,True,False,,,,,,,,,,False
3,1,"[1, 4, 2, 7]",26,7,7,True,False,,,,,,,,,,False
3,1,"[1, 2, 6, 7]",56,7,7,True,False,,,,,,,,,,True
