h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa
2.0,6.0,"[2, 283, 3]",1415.0,21.0,21.0,True,False,,,,,,,,
2.0,6.0,"[2, 247, 3]",1235.0,21.0,21.0,True,False,,,,,,,,
2.0,6.0,"[2, 134, 3]",670.0,21.0,21.0,True,False,,,,,,,,
2.0,6.0,"[2, 15, 3]",75.0,21.0,21.0,True,False,,,,,,,,
2.0,6.0,"[2, 6, 3]",30.0,21.0,21.0,True,True,,,,,,,,
2.0,6.0,"[2, 5, 3]",25.0,20.0,21.0,False,False,,,,,,,,
3.0,6.0,"[2, 186, 220, 3]",41952.0,111.0,111.0,True,False,,,,,,,,
3.0,6.0,"[2, 172, 290, 3]",51094.0,111.0,111.0,True,False,,,,,,,,
3.0,6.0,"[2, 87, 273, 3]",24744.0,111.0,111.0,True,False,,,,,,,,
3.0,6.0,"[2, 131, 20, 3]",2942.0,111.0,111.0,True,False,,,,,,,,
3.0,6.0,"[2, 35, 237, 3]",9076.0,111.0,111.0,True,False,,,,,,,,
3.0,6.0,"[2, 40, 229, 3]",9927.0,111.0,111.0,True,False,,,,,,,,
3.0,6.0,"[2, 174, 13, 3]",2649.0,111.0,111.0,True,False,,,,,,,,
3.0,6.0,"[2, 66, 64, 3]",4548.0,111.0,111.0,True,False,,,,,,,,
3.0,6.0,"[2, 17, 17, 3]",374.0,111.0,111.0,True,False,,,,,,,,
3.0,6.0,"[2, 11, 98, 3]",1394.0,111.0,111.0,True,False,,,,,,,,
3.0,6.0,"[2, 5, 104, 3]",842.0,111.0,111.0,True,False,,,,,,,,
3.0,6.0,"[2, 98, 11, 3]",1307.0,99.0,111.0,False,False,,,,,,,,
3.0,6.0,"[2, 36, 14, 3]",618.0,111.0,111.0,True,False,,,,,,,,
3.0,6.0,"[2, 139, 9, 3]",1556.0,81.0,111.0,False,False,,,,,,,,
3.0,6.0,"[2, 15, 19, 3]",372.0,111.0,111.0,True,False,,,,,,,,
3.0,6.0,"[2, 11, 90, 3]",1282.0,111.0,111.0,True,False,,,,,,,,
3.0,6.0,"[2, 1, 150, 3]",602.0,4.0,111.0,False,False,,,,,,,,
3.0,6.0,"[2, 167, 8, 3]",1694.0,72.0,111.0,False,False,,,,,,,,
3.0,6.0,"[2, 249, 3, 3]",1254.0,27.0,111.0,False,False,,,,,,,,
3.0,6.0,"[2, 3, 153, 3]",924.0,84.0,111.0,False,False,,,,,,,,
3.0,6.0,"[2, 156, 13, 3]",2379.0,111.0,111.0,True,False,,,,,,,,
3.0,6.0,"[2, 10, 92, 3]",1216.0,111.0,111.0,True,False,,,,,,,,
3.0,6.0,"[2, 3, 290, 3]",1746.0,84.0,111.0,False,False,,,,,,,,
3.0,6.0,"[2, 4, 142, 3]",1002.0,111.0,111.0,True,False,,,,,,,,
3.0,6.0,"[2, 209, 10, 3]",2538.0,90.0,111.0,False,False,,,,,,,,
3.0,6.0,"[2, 286, 4, 3]",1728.0,36.0,111.0,False,False,,,,,,,,
3.0,6.0,"[2, 13, 40, 3]",666.0,111.0,111.0,True,False,,,,,,,,
3.0,6.0,"[2, 11, 40, 3]",582.0,111.0,111.0,True,False,,,,,,,,
