h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa
2.0,6.0,"[2, 196, 8]",1960.0,56.0,56.0,True,False,,,,,,,,
2.0,6.0,"[2, 71, 8]",710.0,56.0,56.0,True,False,,,,,,,,
2.0,6.0,"[2, 38, 8]",380.0,56.0,56.0,True,False,,,,,,,,
2.0,6.0,"[2, 37, 8]",370.0,56.0,56.0,True,False,,,,,,,,
2.0,6.0,"[2, 23, 8]",230.0,56.0,56.0,True,False,,,,,,,,
2.0,6.0,"[2, 19, 8]",190.0,56.0,56.0,True,False,,,,,,,,
2.0,6.0,"[2, 16, 8]",160.0,56.0,56.0,True,False,,,,,,,,
2.0,6.0,"[2, 9, 8]",90.0,56.0,56.0,True,False,,,,,,,,
2.0,6.0,"[2, 8, 8]",80.0,56.0,56.0,True,False,,,,,,,,
2.0,6.0,"[2, 7, 8]",70.0,56.0,56.0,True,True,,,,,,,,
2.0,6.0,"[2, 6, 8]",60.0,54.0,56.0,False,False,,,,,,,,
3.0,6.0,"[2, 127, 164, 8]",22394.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 267, 88, 8]",24734.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 31, 49, 8]",1973.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 9, 144, 8]",2466.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 84, 16, 8]",1640.0,224.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 204, 2, 8]",832.0,28.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 25, 137, 8]",4571.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 113, 12, 8]",1678.0,168.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 111, 28, 8]",3554.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 89, 36, 8]",3670.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 157, 9, 8]",1799.0,126.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 1, 57, 8]",515.0,9.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 253, 8, 8]",2594.0,112.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 8, 122, 8]",1968.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 295, 8, 8]",3014.0,112.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 110, 32, 8]",3996.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 14, 70, 8]",1568.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 259, 19, 8]",5591.0,266.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 71, 41, 8]",3381.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 68, 31, 8]",2492.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 7, 92, 8]",1394.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 62, 36, 8]",2644.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 27, 47, 8]",1699.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 272, 23, 8]",6984.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 42, 33, 8]",1734.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 26, 35, 8]",1242.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 59, 21, 8]",1525.0,294.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 110, 26, 8]",3288.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 12, 50, 8]",1024.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 5, 233, 8]",3039.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 124, 20, 8]",2888.0,280.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 4, 178, 8]",2144.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 4, 56, 8]",680.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 3, 237, 8]",2613.0,219.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 296, 17, 8]",5760.0,238.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 206, 21, 8]",4906.0,294.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 296, 18, 8]",6064.0,252.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 63, 22, 8]",1688.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 4, 29, 8]",356.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 299, 16, 8]",5510.0,224.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 224, 21, 8]",5320.0,294.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 8, 25, 8]",416.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 255, 20, 8]",5770.0,280.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 2, 267, 8]",2674.0,58.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 29, 22, 8]",872.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 297, 20, 8]",6694.0,280.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 2, 281, 8]",2814.0,58.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 23, 23, 8]",759.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 6, 22, 8]",320.0,292.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 297, 21, 8]",6999.0,294.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 1, 295, 8]",2657.0,9.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 12, 23, 8]",484.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 3, 258, 8]",2844.0,219.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 298, 19, 8]",6410.0,266.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 4, 24, 8]",296.0,268.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 3, 284, 8]",3130.0,219.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 299, 21, 8]",7045.0,294.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 10, 24, 8]",452.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 7, 26, 8]",404.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 3, 294, 8]",3240.0,219.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 6, 28, 8]",404.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 24, 22, 8]",752.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 4, 27, 8]",332.0,296.0,296.0,True,True,,,,,,,,
3.0,6.0,"[2, 11, 22, 8]",440.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 300, 18, 8]",6144.0,252.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 5, 23, 8]",309.0,281.0,296.0,False,False,,,,,,,,
3.0,6.0,"[2, 7, 24, 8]",374.0,296.0,296.0,True,False,,,,,,,,
3.0,6.0,"[2, 4, 26, 8]",320.0,290.0,296.0,False,False,,,,,,,,
