h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal
2,4,"[1, 181, 7]",1448,7,7,True,False,,,,,,,,,,True
2,4,"[1, 39, 7]",312,7,7,True,False,,,,,,,,,,True
2,4,"[1, 37, 7]",296,7,7,True,False,,,,,,,,,,True
2,4,"[1, 16, 7]",128,7,7,True,False,,,,,,,,,,True
2,4,"[1, 9, 7]",72,7,7,True,False,,,,,,,,,,True
2,4,"[1, 7, 7]",56,7,7,True,False,,,,,,,,,,True
2,4,"[1, 3, 7]",24,7,7,True,False,,,,,,,,,,True
2,4,"[1, 2, 7]",16,7,7,True,False,,,,,,,,,,True
3,4,"[1, 46, 105, 7]",5611,7,7,True,False,,,,,,,,,,True
3,4,"[1, 181, 12, 7]",2437,7,7,True,False,,,,,,,,,,True
3,4,"[1, 176, 73, 7]",13535,7,7,True,False,,,,,,,,,,True
3,4,"[1, 117, 52, 7]",6565,7,7,True,False,,,,,,,,,,True
3,4,"[1, 42, 15, 7]",777,7,7,True,False,,,,,,,,,,True
3,4,"[1, 16, 99, 7]",2293,7,7,True,False,,,,,,,,,,True
3,4,"[1, 14, 201, 7]",4235,7,7,True,False,,,,,,,,,,True
3,4,"[1, 4, 293, 7]",3227,7,7,True,False,,,,,,,,,,True
3,4,"[1, 6, 186, 7]",2424,7,7,True,False,,,,,,,,,,True
3,4,"[1, 271, 5, 7]",1661,7,7,True,False,,,,,,,,,,False
3,4,"[1, 75, 4, 7]",403,7,7,True,False,,,,,,,,,,False
3,4,"[1, 14, 52, 7]",1106,7,7,True,False,,,,,,,,,,True
3,4,"[1, 23, 48, 7]",1463,7,7,True,False,,,,,,,,,,True
3,4,"[1, 9, 132, 7]",2121,7,7,True,False,,,,,,,,,,True
3,4,"[1, 4, 261, 7]",2875,7,7,True,False,,,,,,,,,,True
3,4,"[1, 158, 3, 7]",653,7,7,True,False,,,,,,,,,,False
3,4,"[1, 18, 46, 7]",1168,7,7,True,False,,,,,,,,,,True
3,4,"[1, 38, 11, 7]",533,7,7,True,False,,,,,,,,,,True
3,4,"[1, 53, 6, 7]",413,7,7,True,False,,,,,,,,,,False
3,4,"[1, 7, 143, 7]",2009,7,7,True,False,,,,,,,,,,True
3,4,"[1, 5, 204, 7]",2453,7,7,True,False,,,,,,,,,,True
3,4,"[1, 2, 296, 7]",2666,7,7,True,False,,,,,,,,,,True
3,4,"[1, 3, 186, 7]",1863,7,7,True,False,,,,,,,,,,True
3,4,"[1, 2, 212, 7]",1910,7,7,True,False,,,,,,,,,,True
3,4,"[1, 36, 14, 7]",638,7,7,True,False,,,,,,,,,,True
3,4,"[1, 284, 2, 7]",866,7,7,True,False,,,,,,,,,,False
3,4,"[1, 29, 11, 7]",425,7,7,True,False,,,,,,,,,,True
3,4,"[1, 13, 25, 7]",513,7,7,True,False,,,,,,,,,,True
3,4,"[1, 12, 75, 7]",1437,7,7,True,False,,,,,,,,,,True
3,4,"[1, 2, 193, 7]",1739,7,7,True,False,,,,,,,,,,True
3,4,"[1, 8, 52, 7]",788,7,7,True,False,,,,,,,,,,True
3,4,"[1, 4, 96, 7]",1060,7,7,True,False,,,,,,,,,,True
3,4,"[1, 22, 4, 7]",138,7,7,True,False,,,,,,,,,,False
3,4,"[1, 11, 8, 7]",155,7,7,True,False,,,,,,,,,,True
3,4,"[1, 4, 86, 7]",950,7,7,True,False,,,,,,,,,,True
3,4,"[1, 10, 30, 7]",520,7,7,True,False,,,,,,,,,,True
3,4,"[1, 4, 18, 7]",202,7,7,True,False,,,,,,,,,,True
3,4,"[1, 4, 4, 7]",48,7,7,True,False,,,,,,,,,,True
3,4,"[1, 48, 2, 7]",158,7,7,True,False,,,,,,,,,,False
3,4,"[1, 9, 2, 7]",41,7,7,True,False,,,,,,,,,,False
3,4,"[1, 2, 20, 7]",182,7,7,True,False,,,,,,,,,,True
3,4,"[1, 3, 4, 7]",43,7,7,True,False,,,,,,,,,,True
3,4,"[1, 2, 19, 7]",173,7,7,True,False,,,,,,,,,,True
3,4,"[1, 2, 11, 7]",101,7,7,True,False,,,,,,,,,,True
3,4,"[1, 3, 2, 7]",23,7,7,True,False,,,,,,,,,,False
3,4,"[1, 2, 6, 7]",56,7,7,True,False,,,,,,,,,,True
3,4,"[1, 2, 5, 7]",47,7,7,True,False,,,,,,,,,,True
3,4,"[1, 2, 3, 7]",29,7,7,True,False,,,,,,,,,,True
3,4,"[1, 2, 2, 7]",20,7,7,True,False,,,,,,,,,,True
2,4,"[1, 1, 7]",8,7,7,True,True,,,,,,,,,,True
3,4,"[1, 1, 89, 7]",713,7,7,True,False,,,,,,,,,,True
3,4,"[1, 296, 1, 7]",599,7,7,True,False,,,,,,,,,,False
3,4,"[1, 71, 1, 7]",149,7,7,True,False,,,,,,,,,,False
3,4,"[1, 1, 1, 7]",9,7,7,True,True,,,,,,,,,,True
