h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal
2,4,"[1, 228, 2]",684,2,2,True,False
2,4,"[1, 173, 2]",519,2,2,True,False
2,4,"[1, 140, 2]",420,2,2,True,False
2,4,"[1, 33, 2]",99,2,2,True,False
2,4,"[1, 17, 2]",51,2,2,True,False
2,4,"[1, 13, 2]",39,2,2,True,False
2,4,"[1, 3, 2]",9,2,2,True,False
2,4,"[1, 2, 2]",6,2,2,True,True
3,4,"[1, 268, 116, 2]",31588,2,2,True,False
3,4,"[1, 218, 170, 2]",37618,2,2,True,False
3,4,"[1, 174, 29, 2]",5278,2,2,True,False
3,4,"[1, 126, 291, 2]",37374,2,2,True,False
3,4,"[1, 162, 216, 2]",35586,2,2,True,False
3,4,"[1, 105, 233, 2]",25036,2,2,True,False
3,4,"[1, 80, 279, 2]",22958,2,2,True,False
3,4,"[1, 122, 176, 2]",21946,2,2,True,False
3,4,"[1, 142, 88, 2]",12814,2,2,True,False
3,4,"[1, 32, 97, 2]",3330,2,2,True,False
3,4,"[1, 83, 4, 2]",423,2,2,True,False
3,4,"[1, 50, 37, 2]",1974,2,2,True,False
3,4,"[1, 293, 3, 2]",1178,2,2,True,False
3,4,"[1, 4, 108, 2]",652,2,2,True,False
3,4,"[1, 67, 34, 2]",2413,2,2,True,False
3,4,"[1, 43, 2, 2]",133,2,2,True,False
3,4,"[1, 28, 16, 2]",508,2,2,True,False
3,4,"[1, 20, 27, 2]",614,2,2,True,False
3,4,"[1, 12, 66, 2]",936,2,2,True,False
3,4,"[1, 7, 71, 2]",646,2,2,True,False
3,4,"[1, 6, 96, 2]",774,2,2,True,False
3,4,"[1, 2, 7, 2]",30,2,2,True,False
3,4,"[1, 5, 5, 2]",40,2,2,True,False
3,4,"[1, 40, 3, 2]",166,2,2,True,False
3,4,"[1, 36, 3, 2]",150,2,2,True,False
3,4,"[1, 14, 4, 2]",78,2,2,True,False
3,4,"[1, 14, 2, 2]",46,2,2,True,False
3,4,"[1, 8, 3, 2]",38,2,2,True,False
3,4,"[1, 2, 6, 2]",26,2,2,True,False
3,4,"[1, 3, 2, 2]",13,2,2,True,False
3,4,"[1, 2, 4, 2]",18,2,2,True,False
3,4,"[1, 2, 3, 2]",14,2,2,True,False
3,4,"[1, 2, 2, 2]",10,2,2,True,True
