h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa
2.0,1.0,"[2, 16, 6]",128.0,12.0,12.0,True,False,,,,,,,,
2.0,1.0,"[2, 13, 6]",104.0,12.0,12.0,True,False,,,,,,,,
2.0,1.0,"[2, 9, 6]",72.0,12.0,12.0,True,False,,,,,,,,
2.0,1.0,"[2, 8, 6]",64.0,12.0,12.0,True,False,,,,,,,,
2.0,1.0,"[2, 5, 6]",40.0,12.0,12.0,True,False,,,,,,,,
2.0,1.0,"[2, 3, 6]",24.0,12.0,12.0,True,False,,,,,,,,
2.0,1.0,"[2, 2, 6]",16.0,12.0,12.0,True,True,,,,,,,,
3.0,1.0,"[2, 57, 10, 6]",744.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 44, 92, 6]",4688.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 263, 7, 6]",2409.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 193, 3, 6]",983.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 38, 280, 6]",12396.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 145, 5, 6]",1045.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 37, 98, 6]",4288.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 32, 84, 6]",3256.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 7, 290, 6]",3784.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 8, 54, 6]",772.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 7, 283, 6]",3693.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 21, 15, 6]",447.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 3, 5, 6]",51.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 84, 3, 6]",438.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 2, 151, 6]",1212.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 2, 52, 6]",420.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 1, 42, 6]",296.0,7.0,12.0,False,False,,,,,,,,
3.0,1.0,"[2, 1, 273, 6]",1913.0,7.0,12.0,False,False,,,,,,,,
3.0,1.0,"[2, 182, 2, 6]",740.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 2, 38, 6]",308.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 145, 1, 6]",441.0,7.0,12.0,False,False,,,,,,,,
3.0,1.0,"[2, 1, 291, 6]",2039.0,7.0,12.0,False,False,,,,,,,,
3.0,1.0,"[2, 37, 3, 6]",203.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 156, 1, 6]",474.0,7.0,12.0,False,False,,,,,,,,
3.0,1.0,"[2, 201, 1, 6]",609.0,7.0,12.0,False,False,,,,,,,,
3.0,1.0,"[2, 43, 2, 6]",184.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 2, 8, 6]",68.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 295, 1, 6]",891.0,7.0,12.0,False,False,,,,,,,,
3.0,1.0,"[2, 24, 4, 6]",168.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 32, 3, 6]",178.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 42, 2, 6]",180.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 1, 299, 6]",2095.0,7.0,12.0,False,False,,,,,,,,
3.0,1.0,"[2, 7, 2, 6]",40.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 3, 4, 6]",42.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 296, 1, 6]",894.0,7.0,12.0,False,False,,,,,,,,
3.0,1.0,"[2, 4, 2, 6]",28.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 2, 5, 6]",44.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 3, 3, 6]",33.0,12.0,12.0,True,False,,,,,,,,
3.0,1.0,"[2, 299, 1, 6]",903.0,7.0,12.0,False,False,,,,,,,,
3.0,1.0,"[2, 2, 2, 6]",20.0,12.0,12.0,True,True,,,,,,,,
3.0,1.0,"[2, 1, 300, 6]",2102.0,7.0,12.0,False,False,,,,,,,,
3.0,1.0,"[2, 300, 1, 6]",906.0,7.0,12.0,False,False,,,,,,,,
2.0,1.0,"[2, 1, 6]",8.0,7.0,12.0,False,False,7.0,0.0,5.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.015226800000164,nonfilling,[[2]]
3.0,1.0,"[2, 1, 2, 6]",16.0,7.0,12.0,False,False,12.0,5.0,5.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0221375999990414,nonfilling,"[[2, 2]]"
3.0,1.0,"[2, 2, 1, 6]",12.0,7.0,12.0,False,False,9.0,2.0,5.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0219828999997844,nonfilling,"[[2, 2]]"
3.0,1.0,"[2, 1, 1, 6]",9.0,7.0,12.0,False,False,7.0,0.0,5.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0288871000011567,nonfilling,"[[2, 2]]"
