h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa
3.0,9.0,"[2, 4, 5, 9]",73.0,64.0,738.0,False,False,64.0,0.0,674.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.1169869000004837,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 9, 3, 9]",72.0,54.0,738.0,False,False,60.0,6.0,684.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.1042590999968524,nonfilling,"[[9, 43], [10, 41]]"
3.0,9.0,"[2, 6, 4, 9]",72.0,62.0,738.0,False,False,62.0,0.0,676.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.1124630000012985,nonfilling,"[[6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 1, 7, 9]",72.0,10.0,738.0,False,False,64.0,54.0,728.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0498941000005288,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 2, 6, 9]",70.0,62.0,738.0,False,False,62.0,0.0,676.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.1094668000005185,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 8, 3, 9]",67.0,54.0,738.0,False,False,56.0,2.0,684.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.1156584000018483,nonfilling,"[[8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 5, 4, 9]",66.0,57.0,738.0,False,False,57.0,0.0,681.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.1072440999996615,nonfilling,"[[5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 3, 5, 9]",66.0,58.0,738.0,False,False,58.0,0.0,680.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.1143440000014379,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 7, 3, 9]",62.0,52.0,738.0,False,False,52.0,0.0,686.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.1209711000010429,nonfilling,"[[7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 1, 6, 9]",62.0,10.0,738.0,False,False,55.0,45.0,728.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0484389000012015,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 4, 4, 9]",60.0,52.0,738.0,False,False,52.0,0.0,686.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.1006369999995513,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 2, 5, 9]",59.0,52.0,738.0,False,False,52.0,0.0,686.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.095543200000975,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 10, 2, 9]",58.0,36.0,738.0,False,False,46.0,10.0,702.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0769153000001097,nonfilling,"[[10, 41]]"
3.0,9.0,"[2, 6, 3, 9]",57.0,48.0,738.0,False,False,48.0,0.0,690.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0928701000011642,nonfilling,"[[6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 9, 2, 9]",54.0,36.0,738.0,False,False,43.0,7.0,702.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0768896999979915,nonfilling,"[[9, 43], [10, 41]]"
3.0,9.0,"[2, 3, 4, 9]",54.0,47.0,738.0,False,False,47.0,0.0,691.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0868440999984159,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
