h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal
2,4,"[1, 235, 4]",1175,4,4,True,False
2,4,"[1, 219, 4]",1095,4,4,True,False
2,4,"[1, 68, 4]",340,4,4,True,False
2,4,"[1, 64, 4]",320,4,4,True,False
2,4,"[1, 10, 4]",50,4,4,True,False
2,4,"[1, 2, 4]",10,4,4,True,True
3,4,"[1, 237, 138, 4]",33495,4,4,True,False
3,4,"[1, 245, 41, 4]",10454,4,4,True,False
3,4,"[1, 70, 298, 4]",22122,4,4,True,False
3,4,"[1, 36, 96, 4]",3876,4,4,True,False
3,4,"[1, 156, 31, 4]",5116,4,4,True,False
3,4,"[1, 24, 70, 4]",1984,4,4,True,False
3,4,"[1, 146, 28, 4]",4346,4,4,True,False
3,4,"[1, 275, 13, 4]",3902,4,4,True,False
3,4,"[1, 94, 43, 4]",4308,4,4,True,False
3,4,"[1, 28, 52, 4]",1692,4,4,True,False
3,4,"[1, 186, 14, 4]",2846,4,4,True,False
3,4,"[1, 11, 10, 4]",161,4,4,True,False
3,4,"[1, 74, 9, 4]",776,4,4,True,False
3,4,"[1, 6, 180, 4]",1806,4,4,True,False
3,4,"[1, 7, 116, 4]",1283,4,4,True,False
3,4,"[1, 8, 70, 4]",848,4,4,True,False
3,4,"[1, 151, 2, 4]",461,4,4,True,False
3,4,"[1, 53, 4, 4]",281,4,4,True,False
3,4,"[1, 3, 300, 4]",2103,4,4,True,False
3,4,"[1, 2, 273, 4]",1640,4,4,True,False
3,4,"[1, 4, 173, 4]",1388,4,4,True,False
3,4,"[1, 6, 151, 4]",1516,4,4,True,False
3,4,"[1, 6, 148, 4]",1486,4,4,True,False
3,4,"[1, 3, 44, 4]",311,4,4,True,False
3,4,"[1, 10, 29, 4]",416,4,4,True,False
3,4,"[1, 79, 3, 4]",328,4,4,True,False
3,4,"[1, 24, 5, 4]",164,4,4,True,False
3,4,"[1, 5, 22, 4]",203,4,4,True,False
3,4,"[1, 3, 5, 4]",38,4,4,True,False
3,4,"[1, 2, 88, 4]",530,4,4,True,False
3,4,"[1, 2, 58, 4]",350,4,4,True,False
3,4,"[1, 2, 12, 4]",74,4,4,True,False
3,4,"[1, 126, 2, 4]",386,4,4,True,False
3,4,"[1, 27, 4, 4]",151,4,4,True,False
3,4,"[1, 100, 2, 4]",308,4,4,True,False
3,4,"[1, 77, 2, 4]",239,4,4,True,False
3,4,"[1, 21, 4, 4]",121,4,4,True,False
3,4,"[1, 11, 4, 4]",71,4,4,True,False
3,4,"[1, 33, 2, 4]",107,4,4,True,False
3,4,"[1, 19, 2, 4]",65,4,4,True,False
3,4,"[1, 2, 3, 4]",20,4,4,True,False
3,4,"[1, 18, 2, 4]",62,4,4,True,False
3,4,"[1, 14, 2, 4]",50,4,4,True,False
3,4,"[1, 5, 2, 4]",23,4,4,True,False
3,4,"[1, 2, 2, 4]",14,4,4,True,True
