h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal
2,6,"[3, 20, 2]",100,56,56,True,False
2,6,"[3, 14, 2]",70,56,56,True,True
2,6,"[3, 13, 2]",65,52,56,False,False
3,6,"[3, 309, 24, 2]",8391,696,1406,False,False
3,6,"[3, 365, 3, 2]",2196,87,1406,False,False
3,6,"[3, 366, 18, 2]",7722,522,1406,False,False
3,6,"[3, 382, 10, 2]",4986,290,1406,False,False
3,6,"[3, 407, 13, 2]",6538,377,1406,False,False
3,6,"[3, 431, 1, 2]",1726,29,1406,False,False
