h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal
2,5,"[1, 166, 4]",830,4,4,True,False
2,5,"[1, 50, 4]",250,4,4,True,False
2,5,"[1, 12, 4]",60,4,4,True,False
2,5,"[1, 7, 4]",35,4,4,True,False
2,5,"[1, 5, 4]",25,4,4,True,False
2,5,"[1, 4, 4]",20,4,4,True,False
2,5,"[1, 3, 4]",15,4,4,True,False
2,5,"[1, 2, 4]",10,4,4,True,True
3,5,"[1, 145, 130, 4]",19515,4,4,True,False
3,5,"[1, 80, 278, 4]",23432,4,4,True,False
3,5,"[1, 194, 79, 4]",15836,4,4,True,False
3,5,"[1, 44, 100, 4]",4844,4,4,True,False
3,5,"[1, 31, 21, 4]",766,4,4,True,False
3,5,"[1, 18, 174, 4]",3846,4,4,True,False
3,5,"[1, 12, 174, 4]",2796,4,4,True,False
3,5,"[1, 108, 20, 4]",2348,4,4,True,False
3,5,"[1, 130, 12, 4]",1738,4,4,True,False
3,5,"[1, 148, 10, 4]",1668,4,4,True,False
3,5,"[1, 4, 6, 4]",52,4,4,True,False
3,5,"[1, 143, 3, 4]",584,4,4,True,False
3,5,"[1, 2, 99, 4]",596,4,4,True,False
3,5,"[1, 95, 4, 4]",491,4,4,True,False
3,5,"[1, 2, 29, 4]",176,4,4,True,False
3,5,"[1, 247, 2, 4]",749,4,4,True,False
3,5,"[1, 144, 2, 4]",440,4,4,True,False
3,5,"[1, 93, 5, 4]",578,4,4,True,False
3,5,"[1, 21, 3, 4]",96,4,4,True,False
3,5,"[1, 13, 2, 4]",47,4,4,True,False
3,5,"[1, 3, 24, 4]",171,4,4,True,False
3,5,"[1, 3, 12, 4]",87,4,4,True,False
3,5,"[1, 12, 2, 4]",44,4,4,True,False
3,5,"[1, 5, 3, 4]",32,4,4,True,False
3,5,"[1, 2, 22, 4]",134,4,4,True,False
3,5,"[1, 11, 2, 4]",41,4,4,True,False
3,5,"[1, 3, 7, 4]",52,4,4,True,False
3,5,"[1, 3, 6, 4]",45,4,4,True,False
3,5,"[1, 2, 14, 4]",86,4,4,True,False
3,5,"[1, 2, 2, 4]",14,4,4,True,True
