h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal
2,5,"[3, 278, 1]",1112,21,21,True,False
2,5,"[3, 100, 1]",400,21,21,True,False
2,5,"[3, 68, 1]",272,21,21,True,False
2,5,"[3, 34, 1]",136,21,21,True,False
2,5,"[3, 27, 1]",108,21,21,True,False
2,5,"[3, 11, 1]",44,21,21,True,False
2,5,"[3, 7, 1]",28,21,21,True,True
2,5,"[3, 6, 1]",24,18,21,False,False
3,5,"[3, 48, 286, 1]",14158,351,351,True,False
3,5,"[3, 196, 51, 1]",10635,351,351,True,False
3,5,"[3, 126, 224, 1]",28826,351,351,True,False
3,5,"[3, 75, 81, 1]",6381,351,351,True,False
3,5,"[3, 101, 55, 1]",5913,351,351,True,False
3,5,"[3, 183, 7, 1]",1837,147,351,False,False
3,5,"[3, 282, 22, 1]",7072,351,351,True,False
3,5,"[3, 14, 187, 1]",2847,351,351,True,False
3,5,"[3, 60, 184, 1]",11404,351,351,True,False
3,5,"[3, 270, 2, 1]",1352,42,351,False,False
3,5,"[3, 32, 99, 1]",3363,351,351,True,False
3,5,"[3, 186, 11, 1]",2615,231,351,False,False
3,5,"[3, 213, 8, 1]",2351,168,351,False,False
3,5,"[3, 27, 175, 1]",4981,351,351,True,False
3,5,"[3, 64, 68, 1]",4612,351,351,True,False
3,5,"[3, 17, 143, 1]",2625,351,351,True,False
3,5,"[3, 52, 52, 1]",2912,351,351,True,False
3,5,"[3, 15, 24, 1]",429,351,351,True,False
3,5,"[3, 3, 130, 1]",529,27,351,False,False
3,5,"[3, 299, 10, 1]",3897,210,351,False,False
3,5,"[3, 6, 85, 1]",613,264,351,False,False
3,5,"[3, 11, 131, 1]",1605,351,351,True,False
3,5,"[3, 10, 124, 1]",1394,351,351,True,False
3,5,"[3, 202, 18, 1]",4260,351,351,True,False
3,5,"[3, 1, 198, 1]",399,3,351,False,False
3,5,"[3, 13, 117, 1]",1677,351,351,True,False
3,5,"[3, 9, 290, 1]",2927,351,351,True,False
3,5,"[3, 4, 196, 1]",992,64,351,False,False
3,5,"[3, 246, 11, 1]",3455,231,351,False,False
3,5,"[3, 148, 15, 1]",2679,315,351,False,False
3,5,"[3, 20, 20, 1]",480,351,351,True,False
3,5,"[3, 4, 219, 1]",1107,64,351,False,False
3,5,"[3, 12, 105, 1]",1401,351,351,True,False
3,5,"[3, 2, 252, 1]",762,10,351,False,False
3,5,"[3, 5, 180, 1]",1095,136,351,False,False
3,5,"[3, 8, 243, 1]",2211,351,351,True,False
3,5,"[3, 10, 86, 1]",976,351,351,True,False
3,5,"[3, 9, 171, 1]",1737,351,351,True,False
3,5,"[3, 3, 241, 1]",973,27,351,False,False
3,5,"[3, 13, 77, 1]",1117,351,351,True,False
3,5,"[3, 141, 18, 1]",2979,351,351,True,False
3,5,"[3, 8, 238, 1]",2166,351,351,True,False
3,5,"[3, 57, 16, 1]",1099,336,351,False,False
3,5,"[3, 220, 12, 1]",3312,252,351,False,False
3,5,"[3, 6, 238, 1]",1684,264,351,False,False
3,5,"[3, 12, 65, 1]",881,351,351,True,False
3,5,"[3, 3, 291, 1]",1173,27,351,False,False
3,5,"[3, 23, 17, 1]",477,351,351,True,False
3,5,"[3, 144, 16, 1]",2752,336,351,False,False
3,5,"[3, 281, 11, 1]",3945,231,351,False,False
3,5,"[3, 4, 250, 1]",1262,64,351,False,False
3,5,"[3, 294, 13, 1]",4717,273,351,False,False
3,5,"[3, 8, 49, 1]",465,351,351,True,False
3,5,"[3, 5, 254, 1]",1539,136,351,False,False
3,5,"[3, 11, 46, 1]",585,351,351,True,False
3,5,"[3, 7, 203, 1]",1645,351,351,True,False
3,5,"[3, 223, 14, 1]",3805,294,351,False,False
3,5,"[3, 7, 59, 1]",493,351,351,True,False
3,5,"[3, 275, 16, 1]",5241,336,351,False,False
3,5,"[3, 6, 273, 1]",1929,264,351,False,False
3,5,"[3, 8, 40, 1]",384,336,351,False,False
3,5,"[3, 4, 279, 1]",1407,64,351,False,False
3,5,"[3, 285, 16, 1]",5431,336,351,False,False
3,5,"[3, 298, 16, 1]",5678,336,351,False,False
3,5,"[3, 299, 12, 1]",4497,252,351,False,False
3,5,"[3, 2, 297, 1]",897,10,351,False,False
3,5,"[3, 2, 299, 1]",903,10,351,False,False
3,5,"[3, 15, 21, 1]",381,345,351,False,False
3,5,"[3, 14, 43, 1]",687,351,351,True,False
3,5,"[3, 11, 34, 1]",441,351,351,True,False
3,5,"[3, 6, 280, 1]",1978,264,351,False,False
3,5,"[3, 10, 44, 1]",514,351,351,True,False
3,5,"[3, 17, 22, 1]",447,351,351,True,False
3,5,"[3, 6, 284, 1]",2006,264,351,False,False
3,5,"[3, 6, 287, 1]",2027,264,351,False,False
3,5,"[3, 4, 300, 1]",1512,64,351,False,False
3,5,"[3, 8, 42, 1]",402,351,351,True,True
3,5,"[3, 6, 294, 1]",2076,264,351,False,False
3,5,"[3, 10, 37, 1]",437,351,351,True,False
3,5,"[3, 7, 56, 1]",469,351,351,True,False
3,5,"[3, 12, 32, 1]",452,351,351,True,False
3,5,"[3, 18, 20, 1]",434,351,351,True,False
3,5,"[3, 11, 33, 1]",429,351,351,True,False
3,5,"[3, 13, 26, 1]",403,351,351,True,False
3,5,"[3, 20, 17, 1]",417,351,351,True,False
3,5,"[3, 300, 8, 1]",3308,168,351,False,False
3,5,"[3, 16, 19, 1]",371,336,351,False,False
3,5,"[3, 10, 31, 1]",371,330,351,False,False
3,5,"[3, 299, 15, 1]",5397,315,351,False,False
3,5,"[3, 16, 20, 1]",388,351,351,True,True
3,5,"[3, 7, 45, 1]",381,329,351,False,False
3,5,"[3, 11, 30, 1]",393,351,351,True,True
3,5,"[3, 7, 46, 1]",389,336,351,False,False
3,5,"[3, 5, 297, 1]",1797,136,351,False,False
3,5,"[3, 9, 38, 1]",407,351,351,True,False
3,5,"[3, 300, 10, 1]",3910,210,351,False,False
3,5,"[3, 7, 51, 1]",429,351,351,True,False
3,5,"[3, 17, 17, 1]",357,323,351,False,False
3,5,"[3, 14, 24, 1]",402,351,351,True,True
3,5,"[3, 9, 33, 1]",357,315,351,False,False
3,5,"[3, 10, 35, 1]",415,351,351,True,False
3,5,"[3, 15, 22, 1]",397,351,351,True,True
3,5,"[3, 8, 41, 1]",393,344,351,False,False
3,5,"[3, 6, 300, 1]",2118,264,351,False,False
3,5,"[3, 18, 19, 1]",415,351,351,True,False
3,5,"[3, 10, 32, 1]",382,340,351,False,False
3,5,"[3, 13, 25, 1]",389,351,351,True,True
3,5,"[3, 14, 22, 1]",372,336,351,False,False
3,5,"[3, 9, 37, 1]",397,351,351,True,True
