h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal
2,9,"[2, 202, 2]",808,20,20,True,False
2,9,"[2, 184, 2]",736,20,20,True,False
2,9,"[2, 83, 2]",332,20,20,True,False
2,9,"[2, 56, 2]",224,20,20,True,False
2,9,"[2, 43, 2]",172,20,20,True,False
2,9,"[2, 26, 2]",104,20,20,True,False
2,9,"[2, 7, 2]",28,20,20,True,True
2,9,"[2, 6, 2]",24,18,20,False,False
3,9,"[2, 235, 173, 2]",41471,164,164,True,False
3,9,"[2, 98, 229, 2]",23096,164,164,True,False
3,9,"[2, 52, 168, 2]",9176,164,164,True,False
3,9,"[2, 143, 131, 2]",19281,164,164,True,False
3,9,"[2, 42, 282, 2]",12492,164,164,True,False
3,9,"[2, 141, 155, 2]",22447,164,164,True,False
3,9,"[2, 182, 34, 2]",6620,164,164,True,False
3,9,"[2, 145, 43, 2]",6611,164,164,True,False
3,9,"[2, 65, 21, 2]",1537,164,164,True,False
3,9,"[2, 45, 248, 2]",11746,164,164,True,False
3,9,"[2, 15, 13, 2]",251,143,164,False,False
3,9,"[2, 36, 116, 2]",4480,164,164,True,False
3,9,"[2, 23, 126, 2]",3196,164,164,True,False
3,9,"[2, 44, 94, 2]",4412,164,164,True,False
3,9,"[2, 49, 64, 2]",3362,164,164,True,False
3,9,"[2, 52, 35, 2]",1994,164,164,True,False
3,9,"[2, 16, 170, 2]",3092,164,164,True,False
3,9,"[2, 89, 8, 2]",906,88,164,False,False
3,9,"[2, 2, 227, 2]",912,22,164,False,False
3,9,"[2, 165, 11, 2]",2167,121,164,False,False
3,9,"[2, 19, 80, 2]",1718,164,164,True,False
3,9,"[2, 227, 9, 2]",2515,99,164,False,False
3,9,"[2, 20, 48, 2]",1096,164,164,True,False
3,9,"[2, 40, 37, 2]",1634,164,164,True,False
3,9,"[2, 40, 31, 2]",1382,164,164,True,False
3,9,"[2, 36, 24, 2]",984,164,164,True,False
3,9,"[2, 3, 297, 2]",1491,111,164,False,False
3,9,"[2, 17, 144, 2]",2770,164,164,True,False
3,9,"[2, 20, 47, 2]",1074,164,164,True,False
3,9,"[2, 121, 19, 2]",2579,164,164,True,False
3,9,"[2, 168, 15, 2]",2886,164,164,True,False
3,9,"[2, 12, 158, 2]",2236,164,164,True,False
3,9,"[2, 251, 10, 2]",3032,110,164,False,False
3,9,"[2, 7, 228, 2]",2066,164,164,True,False
3,9,"[2, 33, 30, 2]",1116,164,164,True,False
3,9,"[2, 14, 24, 2]",412,164,164,True,False
3,9,"[2, 8, 210, 2]",2116,164,164,True,False
3,9,"[2, 42, 21, 2]",1008,164,164,True,False
