h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers
2.0,5.0,"[2, 193, 6]",1544.0,36.0,36.0,True,False,,,,,,,,,
2.0,5.0,"[2, 21, 6]",168.0,36.0,36.0,True,False,,,,,,,,,
2.0,5.0,"[2, 10, 6]",80.0,36.0,36.0,True,False,,,,,,,,,
2.0,5.0,"[2, 9, 6]",72.0,36.0,36.0,True,False,,,,,,,,,
2.0,5.0,"[2, 7, 6]",56.0,36.0,36.0,True,False,,,,,,,,,
2.0,5.0,"[2, 6, 6]",48.0,36.0,36.0,True,True,,,,,,,,,
2.0,5.0,"[2, 5, 6]",40.0,35.0,36.0,False,False,,,,,,,,,
3.0,5.0,"[2, 85, 168, 6]",15458.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 72, 175, 6]",13794.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 54, 105, 6]",6408.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 134, 99, 6]",14128.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 63, 10, 6]",816.0,110.0,156.0,False,False,,,,,,,,,
3.0,5.0,"[2, 159, 56, 6]",9558.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 141, 41, 6]",6309.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 49, 172, 6]",9558.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 76, 82, 6]",6876.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 5, 121, 6]",1341.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 25, 90, 6]",2840.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 177, 13, 6]",2733.0,143.0,156.0,False,False,,,,,,,,,
3.0,5.0,"[2, 207, 38, 6]",8508.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 159, 39, 6]",6753.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 231, 15, 6]",4017.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 298, 11, 6]",3940.0,121.0,156.0,False,False,,,,,,,,,
3.0,5.0,"[2, 137, 65, 6]",9569.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 91, 68, 6]",6778.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 58, 85, 6]",5556.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 206, 35, 6]",7832.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 26, 36, 6]",1204.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 3, 300, 6]",2706.0,123.0,156.0,False,False,,,,,,,,,
3.0,5.0,"[2, 78, 23, 6]",2088.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 22, 75, 6]",2144.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 121, 21, 6]",2909.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 10, 46, 6]",756.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 170, 18, 6]",3508.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 170, 16, 6]",3156.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 44, 19, 6]",1038.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 210, 14, 6]",3444.0,154.0,156.0,False,False,,,,,,,,,
3.0,5.0,"[2, 22, 21, 6]",632.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 56, 15, 6]",1042.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 255, 13, 6]",3903.0,143.0,156.0,False,False,,,,,,,,,
3.0,5.0,"[2, 286, 13, 6]",4368.0,143.0,156.0,False,False,,,,,,,,,
3.0,5.0,"[2, 4, 216, 6]",2168.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 7, 54, 6]",716.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 14, 22, 6]",468.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 5, 88, 6]",978.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 4, 55, 6]",558.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 9, 17, 6]",273.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 299, 9, 6]",3343.0,99.0,156.0,False,False,,,,,,,,,
3.0,5.0,"[2, 6, 18, 6]",228.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 19, 16, 6]",438.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 38, 15, 6]",736.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 5, 34, 6]",384.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 4, 16, 6]",168.0,148.0,156.0,False,False,,,,,,,,,
3.0,5.0,"[2, 297, 12, 6]",4230.0,132.0,156.0,False,False,,,,,,,,,
3.0,5.0,"[2, 4, 49, 6]",498.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 4, 46, 6]",468.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 7, 16, 6]",222.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 5, 15, 6]",175.0,155.0,156.0,False,False,,,,,,,,,
3.0,5.0,"[2, 295, 14, 6]",4804.0,154.0,156.0,False,False,,,,,,,,,
3.0,5.0,"[2, 4, 43, 6]",438.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 4, 40, 6]",408.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 5, 27, 6]",307.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 29, 15, 6]",583.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 4, 33, 6]",338.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 4, 26, 6]",268.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 298, 14, 6]",4852.0,154.0,156.0,False,False,,,,,,,,,
3.0,5.0,"[2, 299, 13, 6]",4563.0,143.0,156.0,False,False,,,,,,,,,
3.0,5.0,"[2, 5, 16, 6]",186.0,156.0,156.0,True,True,,,,,,,,,
3.0,5.0,"[2, 300, 9, 6]",3354.0,99.0,156.0,False,False,,,,,,,,,
3.0,5.0,"[2, 12, 15, 6]",294.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 11, 15, 6]",277.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 4, 25, 6]",258.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 300, 12, 6]",4272.0,132.0,156.0,False,False,,,,,,,,,
3.0,5.0,"[2, 8, 15, 6]",226.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 4, 24, 6]",248.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 300, 14, 6]",4884.0,154.0,156.0,False,False,,,,,,,,,
3.0,5.0,"[2, 6, 15, 6]",192.0,156.0,156.0,True,True,,,,,,,,,
3.0,5.0,"[2, 4, 21, 6]",218.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 4, 19, 6]",198.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 4, 18, 6]",188.0,156.0,156.0,True,False,,,,,,,,,
3.0,5.0,"[2, 4, 17, 6]",178.0,156.0,156.0,True,True,,,,,,,,,
2.0,5.0,"[2, 4, 6]",32.0,28.0,36.0,False,False,28.0,0.0,8.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0528377999999065,nonfilling,[[6]],
2.0,5.0,"[2, 3, 6]",24.0,21.0,36.0,False,False,21.0,0.0,15.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0415163999987271,nonfilling,[[6]],
2.0,5.0,"[2, 2, 6]",16.0,14.0,36.0,False,False,14.0,0.0,22.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0249695000002247,nonfilling,[[6]],
2.0,5.0,"[2, 1, 6]",8.0,7.0,36.0,False,False,7.0,0.0,29.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0151288000015483,nonfilling,[[6]],
3.0,5.0,"[2, 6, 14, 6]",180.0,154.0,156.0,False,False,156.0,2.0,2.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.3707704000007652,nonfilling,"[[6, 15]]",
3.0,5.0,"[2, 6, 13, 6]",168.0,143.0,156.0,False,False,149.0,6.0,13.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.3350394000008236,nonfilling,"[[6, 15]]",
3.0,5.0,"[2, 5, 14, 6]",164.0,145.0,156.0,False,False,145.0,0.0,11.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.2910496999993484,nonfilling,"[[5, 16], [6, 15]]",
