h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal
2,7,"[5, 267, 7]",3204,2310,2310,True,False
2,7,"[5, 259, 7]",3108,2310,2310,True,False
2,7,"[5, 236, 7]",2832,2310,2310,True,False
2,7,"[5, 202, 7]",2424,2222,2310,False,False
2,7,"[5, 228, 7]",2736,2310,2310,True,False
2,7,"[5, 205, 7]",2460,2255,2310,False,False
2,7,"[5, 221, 7]",2652,2310,2310,True,False
2,7,"[5, 212, 7]",2544,2310,2310,True,False
2,7,"[5, 211, 7]",2532,2310,2310,True,False
2,7,"[5, 208, 7]",2496,2288,2310,False,False
2,7,"[5, 209, 7]",2508,2299,2310,False,False
2,7,"[5, 210, 7]",2520,2310,2310,True,True
