h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal
2,1,"[1, 266, 2]",798,2,2,True,False,,,,,,,,,,True
2,1,"[1, 103, 2]",309,2,2,True,False,,,,,,,,,,True
2,1,"[1, 88, 2]",264,2,2,True,False,,,,,,,,,,True
2,1,"[1, 30, 2]",90,2,2,True,False,,,,,,,,,,True
2,1,"[1, 12, 2]",36,2,2,True,False,,,,,,,,,,True
2,1,"[1, 11, 2]",33,2,2,True,False,,,,,,,,,,True
2,1,"[1, 10, 2]",30,2,2,True,False,,,,,,,,,,True
2,1,"[1, 3, 2]",9,2,2,True,False,,,,,,,,,,True
2,1,"[1, 2, 2]",6,2,2,True,False,,,,,,,,,,True
3,1,"[1, 244, 275, 2]",67894,2,2,True,False,,,,,,,,,,True
3,1,"[1, 20, 211, 2]",4662,2,2,True,False,,,,,,,,,,True
3,1,"[1, 224, 161, 2]",36610,2,2,True,False,,,,,,,,,,True
3,1,"[1, 75, 17, 2]",1384,2,2,True,False,,,,,,,,,,True
3,1,"[1, 39, 202, 2]",8321,2,2,True,False,,,,,,,,,,True
3,1,"[1, 56, 176, 2]",10264,2,2,True,False,,,,,,,,,,True
3,1,"[1, 11, 199, 2]",2598,2,2,True,False,,,,,,,,,,True
3,1,"[1, 67, 39, 2]",2758,2,2,True,False,,,,,,,,,,True
3,1,"[1, 23, 77, 2]",1948,2,2,True,False,,,,,,,,,,True
3,1,"[1, 4, 55, 2]",334,2,2,True,False,,,,,,,,,,True
3,1,"[1, 212, 4, 2]",1068,2,2,True,False,,,,,,,,,,True
3,1,"[1, 29, 50, 2]",1579,2,2,True,False,,,,,,,,,,True
3,1,"[1, 152, 12, 2]",2000,2,2,True,False,,,,,,,,,,True
3,1,"[1, 50, 23, 2]",1246,2,2,True,False,,,,,,,,,,True
3,1,"[1, 99, 10, 2]",1109,2,2,True,False,,,,,,,,,,True
3,1,"[1, 98, 13, 2]",1398,2,2,True,False,,,,,,,,,,True
3,1,"[1, 28, 18, 2]",568,2,2,True,False,,,,,,,,,,True
3,1,"[1, 189, 4, 2]",953,2,2,True,False,,,,,,,,,,True
3,1,"[1, 45, 6, 2]",327,2,2,True,False,,,,,,,,,,True
3,1,"[1, 26, 21, 2]",614,2,2,True,False,,,,,,,,,,True
3,1,"[1, 6, 46, 2]",374,2,2,True,False,,,,,,,,,,True
3,1,"[1, 25, 20, 2]",565,2,2,True,False,,,,,,,,,,True
3,1,"[1, 26, 11, 2]",334,2,2,True,False,,,,,,,,,,True
3,1,"[1, 83, 3, 2]",338,2,2,True,False,,,,,,,,,,True
3,1,"[1, 32, 4, 2]",168,2,2,True,False,,,,,,,,,,True
3,1,"[1, 21, 32, 2]",757,2,2,True,False,,,,,,,,,,True
3,1,"[1, 6, 6, 2]",54,2,2,True,False,,,,,,,,,,True
3,1,"[1, 2, 11, 2]",46,2,2,True,False,,,,,,,,,,True
3,1,"[1, 5, 10, 2]",75,2,2,True,False,,,,,,,,,,True
3,1,"[1, 239, 2, 2]",721,2,2,True,False,,,,,,,,,,True
3,1,"[1, 79, 3, 2]",322,2,2,True,False,,,,,,,,,,True
3,1,"[1, 168, 2, 2]",508,2,2,True,False,,,,,,,,,,True
3,1,"[1, 31, 3, 2]",130,2,2,True,False,,,,,,,,,,True
3,1,"[1, 47, 2, 2]",145,2,2,True,False,,,,,,,,,,True
3,1,"[1, 24, 2, 2]",76,2,2,True,False,,,,,,,,,,True
3,1,"[1, 5, 3, 2]",26,2,2,True,False,,,,,,,,,,True
3,1,"[1, 3, 3, 2]",18,2,2,True,False,,,,,,,,,,True
3,1,"[1, 2, 7, 2]",30,2,2,True,False,,,,,,,,,,True
3,1,"[1, 7, 2, 2]",25,2,2,True,False,,,,,,,,,,True
3,1,"[1, 6, 2, 2]",22,2,2,True,False,,,,,,,,,,True
3,1,"[1, 2, 4, 2]",18,2,2,True,False,,,,,,,,,,True
3,1,"[1, 3, 2, 2]",13,2,2,True,False,,,,,,,,,,True
3,1,"[1, 2, 2, 2]",10,2,2,True,False,,,,,,,,,,True
2,1,"[1, 1, 2]",3,2,2,True,True,,,,,,,,,,True
3,1,"[1, 232, 1, 2]",466,2,2,True,False,,,,,,,,,,False
3,1,"[1, 1, 189, 2]",568,2,2,True,False,,,,,,,,,,True
3,1,"[1, 1, 55, 2]",166,2,2,True,False,,,,,,,,,,True
3,1,"[1, 211, 1, 2]",424,2,2,True,False,,,,,,,,,,False
3,1,"[1, 11, 1, 2]",24,2,2,True,False,,,,,,,,,,False
3,1,"[1, 1, 11, 2]",34,2,2,True,False,,,,,,,,,,True
3,1,"[1, 9, 1, 2]",20,2,2,True,False,,,,,,,,,,False
3,1,"[1, 1, 9, 2]",28,2,2,True,False,,,,,,,,,,True
3,1,"[1, 1, 7, 2]",22,2,2,True,False,,,,,,,,,,True
3,1,"[1, 7, 1, 2]",16,2,2,True,False,,,,,,,,,,False
3,1,"[1, 2, 1, 2]",6,2,2,True,False,,,,,,,,,,False
3,1,"[1, 1, 1, 2]",4,2,2,True,True,,,,,,,,,,True
4,1,"[1, 1, 1, 1, 2]",5,2,2,True,True,,,,,,,,,,True
5,1,"[1, 1, 1, 1, 1, 2]",6,2,2,True,True,,,,,,,,,,True
6,1,"[1, 1, 1, 1, 1, 1, 2]",7,2,2,True,True,,,,,,,,,,True
