h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal,defect
2,7,"[1, 1, 7]",8,7,7,True,True,7,,,,,,,,,True,0
2,7,"[1, 14, 7]",112,7,7,True,False,7,,,,,,,,,True,0
2,7,"[1, 4, 7]",32,7,7,True,False,7,,,,,,,,,True,0
2,7,"[1, 2, 7]",16,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 1, 1, 7]",9,7,7,True,True,7,,,,,,,,,True,0
3,7,"[1, 235, 3, 7]",961,7,7,True,False,7,,,,,,,,,False,0
3,7,"[1, 144, 3, 7]",597,7,7,True,False,7,,,,,,,,,False,0
3,7,"[1, 45, 5, 7]",305,7,7,True,False,7,,,,,,,,,False,0
3,7,"[1, 50, 3, 7]",221,7,7,True,False,7,,,,,,,,,False,0
3,7,"[1, 19, 2, 7]",71,7,7,True,False,7,,,,,,,,,False,0
3,7,"[1, 15, 2, 7]",59,7,7,True,False,7,,,,,,,,,False,0
3,7,"[1, 14, 3, 7]",77,7,7,True,False,7,,,,,,,,,False,0
3,7,"[1, 6, 2, 7]",32,7,7,True,False,7,,,,,,,,,False,0
3,7,"[1, 88, 1, 7]",183,7,7,True,False,7,,,,,,,,,False,0
3,7,"[1, 37, 1, 7]",81,7,7,True,False,7,,,,,,,,,False,0
3,7,"[1, 26, 1, 7]",59,7,7,True,False,7,,,,,,,,,False,0
3,7,"[1, 20, 1, 7]",47,7,7,True,False,7,,,,,,,,,False,0
3,7,"[1, 13, 1, 7]",33,7,7,True,False,7,,,,,,,,,False,0
3,7,"[1, 5, 1, 7]",17,7,7,True,False,7,,,,,,,,,False,0
3,7,"[1, 4, 1, 7]",15,7,7,True,False,7,,,,,,,,,False,0
3,7,"[1, 3, 1, 7]",13,7,7,True,False,7,,,,,,,,,False,0
3,7,"[1, 2, 1, 7]",11,7,7,True,False,7,,,,,,,,,False,0
3,7,"[1, 59, 112, 7]",7451,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 12, 109, 7]",2083,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 283, 37, 7]",11013,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 120, 91, 7]",11677,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 66, 73, 7]",5395,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 177, 41, 7]",7721,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 234, 20, 7]",5054,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 50, 94, 7]",5408,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 145, 12, 7]",1969,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 131, 9, 7]",1373,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 3, 197, 7]",1973,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 9, 137, 7]",2201,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 13, 71, 7]",1433,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 97, 18, 7]",1969,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 13, 53, 7]",1073,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 7, 101, 7]",1421,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 125, 8, 7]",1181,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 73, 34, 7]",2793,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 55, 16, 7]",1047,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 86, 10, 7]",1016,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 7, 19, 7]",273,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 2, 266, 7]",2396,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 10, 11, 7]",197,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 2, 22, 7]",200,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 11, 8, 7]",155,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 2, 4, 7]",38,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 2, 2, 7]",20,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 1, 285, 7]",2281,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 1, 247, 7]",1977,7,7,True,False,7,,,,,,,,,True,0
3,7,"[1, 1, 2, 7]",17,7,7,True,False,7,,,,,,,,,True,0
