h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,is_unimodal,defect
2.0,5.0,"[2, 6, 7]",54.0,42.0,42.0,True,True,42,,,,,,,,True,0.0
2.0,5.0,"[2, 1, 7]",9.0,8.0,42.0,False,False,8,0.0,34.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0233523999995668,nonfilling,[[6]],False,0.0
2.0,5.0,"[2, 241, 7]",2169.0,42.0,42.0,True,False,42,,,,,,,,True,0.0
2.0,5.0,"[2, 130, 7]",1170.0,42.0,42.0,True,False,42,,,,,,,,True,0.0
2.0,5.0,"[2, 28, 7]",252.0,42.0,42.0,True,False,42,,,,,,,,True,0.0
2.0,5.0,"[2, 15, 7]",135.0,42.0,42.0,True,False,42,,,,,,,,True,0.0
2.0,5.0,"[2, 11, 7]",99.0,42.0,42.0,True,False,42,,,,,,,,True,0.0
2.0,5.0,"[2, 8, 7]",72.0,42.0,42.0,True,False,42,,,,,,,,True,0.0
2.0,5.0,"[2, 5, 7]",45.0,40.0,42.0,False,False,40,,,,,,,,True,0.0
2.0,5.0,"[2, 4, 7]",36.0,32.0,42.0,False,False,32,0.0,10.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.085620599998947,nonfilling,[[6]],True,0.0
2.0,5.0,"[2, 3, 7]",27.0,24.0,42.0,False,False,24,0.0,18.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0640951999994285,nonfilling,[[6]],True,0.0
2.0,5.0,"[2, 2, 7]",18.0,16.0,42.0,False,False,16,0.0,26.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.046841299999869,nonfilling,[[6]],True,0.0
3.0,5.0,"[2, 4, 18, 7]",206.0,182.0,182.0,True,True,182,,,,,,,,True,0.0
3.0,5.0,"[2, 6, 16, 7]",220.0,182.0,182.0,True,True,182,,,,,,,,True,0.0
3.0,5.0,"[2, 5, 17, 7]",214.0,182.0,182.0,True,True,182,,,,,,,,True,0.0
3.0,5.0,"[2, 286, 2, 7]",1158.0,24.0,182.0,False,False,182,,,,,,,,False,158.0
3.0,5.0,"[2, 292, 1, 7]",883.0,12.0,182.0,False,False,182,,,,,,,,False,170.0
3.0,5.0,"[2, 1, 286, 7]",2290.0,8.0,182.0,False,False,182,,,,,,,,False,174.0
3.0,5.0,"[2, 300, 3, 7]",1521.0,36.0,182.0,False,False,182,,,,,,,,False,146.0
3.0,5.0,"[2, 1, 299, 7]",2394.0,8.0,182.0,False,False,182,,,,,,,,False,174.0
3.0,5.0,"[2, 300, 5, 7]",2135.0,60.0,182.0,False,False,182,,,,,,,,False,122.0
3.0,5.0,"[2, 1, 18, 7]",146.0,8.0,182.0,False,False,127,119.0,174.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0847044999991339,nonfilling,"[[4, 18]]",False,119.0
3.0,5.0,"[2, 1, 17, 7]",138.0,8.0,182.0,False,False,120,112.0,174.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0667135000003327,nonfilling,"[[4, 18], [5, 17]]",False,112.0
