h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,is_unimodal,defect
2.0,2.0,"[2, 3, 5]",21.0,15.0,15.0,True,True,15,,,,,,,,True,0.0
2.0,2.0,"[2, 1, 5]",7.0,6.0,15.0,False,False,6,0.0,9.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0143217000004369,nonfilling,[[3]],False,0.0
2.0,2.0,"[2, 47, 5]",329.0,15.0,15.0,True,False,15,,,,,,,,True,0.0
2.0,2.0,"[2, 41, 5]",287.0,15.0,15.0,True,False,15,,,,,,,,True,0.0
2.0,2.0,"[2, 13, 5]",91.0,15.0,15.0,True,False,15,,,,,,,,True,0.0
2.0,2.0,"[2, 12, 5]",84.0,15.0,15.0,True,False,15,,,,,,,,True,0.0
2.0,2.0,"[2, 8, 5]",56.0,15.0,15.0,True,False,15,,,,,,,,True,0.0
2.0,2.0,"[2, 6, 5]",42.0,15.0,15.0,True,False,15,,,,,,,,True,0.0
2.0,2.0,"[2, 2, 5]",14.0,12.0,15.0,False,False,12,0.0,3.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0240255000007891,nonfilling,[[3]],True,0.0
3.0,2.0,"[2, 3, 5, 5]",46.0,25.0,25.0,True,True,25,,,,,,,,True,0.0
3.0,2.0,"[2, 299, 3, 5]",1510.0,21.0,25.0,False,False,25,,,,,,,,False,4.0
3.0,2.0,"[2, 141, 4, 5]",866.0,24.0,25.0,False,False,25,,,,,,,,False,1.0
3.0,2.0,"[2, 209, 4, 5]",1274.0,24.0,25.0,False,False,25,,,,,,,,False,1.0
3.0,2.0,"[2, 1, 112, 5]",674.0,6.0,25.0,False,False,25,,,,,,,,False,19.0
3.0,2.0,"[2, 247, 4, 5]",1502.0,24.0,25.0,False,False,25,,,,,,,,False,1.0
3.0,2.0,"[2, 1, 252, 5]",1514.0,6.0,25.0,False,False,25,,,,,,,,False,19.0
3.0,2.0,"[2, 1, 294, 5]",1766.0,6.0,25.0,False,False,25,,,,,,,,False,19.0
3.0,2.0,"[2, 276, 4, 5]",1676.0,24.0,25.0,False,False,25,,,,,,,,False,1.0
3.0,2.0,"[2, 289, 4, 5]",1754.0,24.0,25.0,False,False,25,,,,,,,,False,1.0
3.0,2.0,"[2, 298, 4, 5]",1808.0,24.0,25.0,False,False,25,,,,,,,,False,1.0
3.0,2.0,"[2, 300, 4, 5]",1820.0,24.0,25.0,False,False,25,,,,,,,,False,1.0
3.0,2.0,"[2, 1, 300, 5]",1802.0,6.0,25.0,False,False,25,,,,,,,,False,19.0
3.0,2.0,"[2, 1, 5, 5]",32.0,6.0,25.0,False,False,25,19.0,19.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0272888999988936,nonfilling,"[[3, 5]]",False,19.0
