h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal,defect
2,3,"[3, 6, 3]",36,30,30,True,True,30,,,,,,,,,True,0
2,3,"[3, 21, 3]",126,30,30,True,False,30,,,,,,,,,True,0
2,3,"[3, 8, 3]",48,30,30,True,False,30,,,,,,,,,True,0
2,3,"[3, 5, 3]",30,25,30,False,False,25,,,,,,,,,True,0
3,3,"[3, 8, 15, 3]",189,165,165,True,True,165,,,,,,,,,True,0
3,3,"[3, 6, 20, 3]",198,165,165,True,True,165,,,,,,,,,True,0
3,3,"[3, 10, 14, 3]",212,165,165,True,True,165,,,,,,,,,True,0
3,3,"[3, 7, 17, 3]",191,165,165,True,True,165,,,,,,,,,True,0
3,3,"[3, 22, 13, 3]",391,156,165,False,False,165,,,,,,,,,True,9
3,3,"[3, 16, 36, 3]",732,165,165,True,False,165,,,,,,,,,True,0
3,3,"[3, 25, 26, 3]",803,165,165,True,False,165,,,,,,,,,True,0
3,3,"[3, 6, 54, 3]",504,165,165,True,False,165,,,,,,,,,True,0
3,3,"[3, 48, 17, 3]",1011,165,165,True,False,165,,,,,,,,,True,0
3,3,"[3, 50, 4, 3]",362,48,165,False,False,165,,,,,,,,,True,117
3,3,"[3, 37, 18, 3]",831,165,165,True,False,165,,,,,,,,,True,0
3,3,"[3, 18, 27, 3]",621,165,165,True,False,165,,,,,,,,,True,0
3,3,"[3, 38, 6, 3]",360,72,165,False,False,165,,,,,,,,,True,93
3,3,"[3, 46, 16, 3]",922,165,165,True,False,165,,,,,,,,,True,0
3,3,"[3, 10, 17, 3]",251,165,165,True,False,165,,,,,,,,,True,0
3,3,"[3, 34, 10, 3]",472,120,165,False,False,165,,,,,,,,,True,45
3,3,"[3, 9, 49, 3]",615,165,165,True,False,165,,,,,,,,,True,0
3,3,"[3, 4, 53, 3]",383,68,165,False,False,165,,,,,,,,,True,97
3,3,"[3, 9, 31, 3]",399,165,165,True,False,165,,,,,,,,,True,0
3,3,"[3, 7, 40, 3]",421,165,165,True,False,165,,,,,,,,,True,0
3,3,"[3, 43, 6, 3]",405,72,165,False,False,165,,,,,,,,,True,93
3,3,"[3, 40, 15, 3]",765,165,165,True,False,165,,,,,,,,,True,0
3,3,"[3, 33, 15, 3]",639,165,165,True,False,165,,,,,,,,,True,0
3,3,"[3, 9, 28, 3]",363,165,165,True,False,165,,,,,,,,,True,0
3,3,"[3, 13, 16, 3]",295,165,165,True,False,165,,,,,,,,,True,0
3,3,"[3, 53, 3, 3]",327,36,165,False,False,165,,,,,,,,,True,129
