h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal,defect
2,1,"[3, 2, 2]",10,6,6,True,True,6,,,,,,,,,True,0
2,1,"[3, 1, 2]",5,4,6,False,False,4,0.0,2.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.1543189000003622,maximal_subarchitecture_of_recorded_mfa,"[[3, 2, 2]]",[1],False,0
2,1,"[3, 253, 2]",1265,6,6,True,False,6,,,,,,,,,True,0
2,1,"[3, 86, 2]",430,6,6,True,False,6,,,,,,,,,True,0
2,1,"[3, 46, 2]",230,6,6,True,False,6,,,,,,,,,True,0
2,1,"[3, 26, 2]",130,6,6,True,False,6,,,,,,,,,True,0
2,1,"[3, 17, 2]",85,6,6,True,False,6,,,,,,,,,True,0
2,1,"[3, 6, 2]",30,6,6,True,False,6,,,,,,,,,True,0
2,1,"[3, 5, 2]",25,6,6,True,False,6,,,,,,,,,True,0
2,1,"[3, 4, 2]",20,6,6,True,False,6,,,,,,,,,True,0
3,1,"[3, 2, 2, 2]",14,6,6,True,True,6,,,,,,,,,True,0
3,1,"[3, 1, 285, 2]",858,4,6,False,False,6,,,,,,,,,False,2
3,1,"[3, 171, 1, 2]",686,4,6,False,False,6,,,,,,,,,False,2
3,1,"[3, 2, 147, 2]",594,6,6,True,False,6,,,,,,,,,False,0
3,1,"[3, 233, 1, 2]",934,4,6,False,False,6,,,,,,,,,False,2
3,1,"[3, 2, 143, 2]",578,6,6,True,False,6,,,,,,,,,False,0
3,1,"[3, 1, 298, 2]",897,4,6,False,False,6,,,,,,,,,False,2
3,1,"[3, 284, 1, 2]",1138,4,6,False,False,6,,,,,,,,,False,2
3,1,"[3, 294, 1, 2]",1178,4,6,False,False,6,,,,,,,,,False,2
3,1,"[3, 2, 36, 2]",150,6,6,True,False,6,,,,,,,,,False,0
3,1,"[3, 2, 10, 2]",46,6,6,True,False,6,,,,,,,,,False,0
3,1,"[3, 297, 1, 2]",1190,4,6,False,False,6,,,,,,,,,False,2
3,1,"[3, 1, 299, 2]",900,4,6,False,False,6,,,,,,,,,False,2
3,1,"[3, 1, 300, 2]",903,4,6,False,False,6,,,,,,,,,False,2
3,1,"[3, 2, 7, 2]",34,6,6,True,False,6,,,,,,,,,False,0
3,1,"[3, 2, 3, 2]",18,6,6,True,False,6,,,,,,,,,False,0
3,1,"[3, 300, 1, 2]",1202,4,6,False,False,6,,,,,,,,,False,2
3,1,"[3, 1, 2, 2]",9,4,6,False,False,6,2.0,2.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.1758051999986492,maximal_subarchitecture_of_recorded_mfa,"[[3, 2, 2, 2]]",[1],False,2
3,1,"[3, 2, 1, 2]",10,4,6,False,False,6,2.0,2.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.1833569999998872,maximal_subarchitecture_of_recorded_mfa,"[[3, 2, 2, 2]]",[2],False,2
3,1,"[3, 154, 177, 2]",28074,6,6,True,False,6,,,,,,,,,True,0
