h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal,defect
2.0,8.0,"[1, 1, 3]",4.0,3.0,3.0,True,True,3,0.0,0.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0687442999999348,filling_below_recorded_mfa,[[2]],,True,0.0
2.0,8.0,"[1, 32, 3]",128.0,3.0,3.0,True,False,3,,,,,,,,,True,0.0
2.0,8.0,"[1, 11, 3]",44.0,3.0,3.0,True,False,3,,,,,,,,,True,0.0
2.0,8.0,"[1, 7, 3]",28.0,3.0,3.0,True,False,3,,,,,,,,,True,0.0
2.0,8.0,"[1, 6, 3]",24.0,3.0,3.0,True,False,3,,,,,,,,,True,0.0
2.0,8.0,"[1, 4, 3]",16.0,3.0,3.0,True,False,3,,,,,,,,,True,0.0
2.0,8.0,"[1, 3, 3]",12.0,3.0,3.0,True,False,3,,,,,,,,,True,0.0
2.0,8.0,"[1, 2, 3]",8.0,3.0,3.0,True,False,3,,,,,,,,,True,0.0
3.0,8.0,"[1, 1, 1, 3]",5.0,3.0,3.0,True,True,3,,,,,,,,,True,0.0
3.0,8.0,"[1, 7, 2, 3]",27.0,3.0,3.0,True,False,3,,,,,,,,,False,0.0
3.0,8.0,"[1, 6, 2, 3]",24.0,3.0,3.0,True,False,3,,,,,,,,,False,0.0
3.0,8.0,"[1, 3, 2, 3]",15.0,3.0,3.0,True,False,3,,,,,,,,,False,0.0
3.0,8.0,"[1, 181, 1, 3]",365.0,3.0,3.0,True,False,3,,,,,,,,,False,0.0
3.0,8.0,"[1, 165, 1, 3]",333.0,3.0,3.0,True,False,3,,,,,,,,,False,0.0
3.0,8.0,"[1, 70, 1, 3]",143.0,3.0,3.0,True,False,3,,,,,,,,,False,0.0
3.0,8.0,"[1, 6, 1, 3]",15.0,3.0,3.0,True,False,3,,,,,,,,,False,0.0
3.0,8.0,"[1, 4, 1, 3]",11.0,3.0,3.0,True,False,3,,,,,,,,,False,0.0
3.0,8.0,"[1, 2, 1, 3]",7.0,3.0,3.0,True,False,3,,,,,,,,,False,0.0
3.0,8.0,"[1, 147, 190, 3]",28647.0,3.0,3.0,True,False,3,,,,,,,,,True,0.0
3.0,8.0,"[1, 242, 71, 3]",17637.0,3.0,3.0,True,False,3,,,,,,,,,True,0.0
3.0,8.0,"[1, 144, 248, 3]",36600.0,3.0,3.0,True,False,3,,,,,,,,,True,0.0
3.0,8.0,"[1, 61, 192, 3]",12349.0,3.0,3.0,True,False,3,,,,,,,,,True,0.0
3.0,8.0,"[1, 33, 127, 3]",4605.0,3.0,3.0,True,False,3,,,,,,,,,True,0.0
3.0,8.0,"[1, 32, 181, 3]",6367.0,3.0,3.0,True,False,3,,,,,,,,,True,0.0
3.0,8.0,"[1, 295, 43, 3]",13109.0,3.0,3.0,True,False,3,,,,,,,,,True,0.0
3.0,8.0,"[1, 113, 20, 3]",2433.0,3.0,3.0,True,False,3,,,,,,,,,True,0.0
