h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,is_unimodal,defect
2.0,9.0,"[2, 8, 3]",40.0,30.0,30.0,True,True,30,,,,,,,,True,0.0
2.0,9.0,"[2, 1, 3]",5.0,4.0,30.0,False,False,4,0.0,26.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0087069000001065,nonfilling,[[8]],False,0.0
2.0,9.0,"[2, 158, 3]",790.0,30.0,30.0,True,False,30,,,,,,,,True,0.0
2.0,9.0,"[2, 118, 3]",590.0,30.0,30.0,True,False,30,,,,,,,,True,0.0
2.0,9.0,"[2, 24, 3]",120.0,30.0,30.0,True,False,30,,,,,,,,True,0.0
2.0,9.0,"[2, 20, 3]",100.0,30.0,30.0,True,False,30,,,,,,,,True,0.0
2.0,9.0,"[2, 18, 3]",90.0,30.0,30.0,True,False,30,,,,,,,,True,0.0
2.0,9.0,"[2, 7, 3]",35.0,28.0,30.0,False,False,28,,,,,,,,True,0.0
2.0,9.0,"[2, 14, 3]",70.0,30.0,30.0,True,False,30,,,,,,,,True,0.0
2.0,9.0,"[2, 12, 3]",60.0,30.0,30.0,True,False,30,,,,,,,,True,0.0
2.0,9.0,"[2, 11, 3]",55.0,30.0,30.0,True,False,30,,,,,,,,True,0.0
2.0,9.0,"[2, 6, 3]",30.0,24.0,30.0,False,False,24,0.0,6.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0377673000002687,nonfilling,[[8]],True,0.0
2.0,9.0,"[2, 5, 3]",25.0,20.0,30.0,False,False,20,0.0,10.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0277456000003439,nonfilling,[[8]],True,0.0
2.0,9.0,"[2, 4, 3]",20.0,16.0,30.0,False,False,16,0.0,14.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0247302000007039,nonfilling,[[8]],True,0.0
2.0,9.0,"[2, 3, 3]",15.0,12.0,30.0,False,False,12,0.0,18.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0177376999999978,nonfilling,[[8]],True,0.0
2.0,9.0,"[2, 2, 3]",10.0,8.0,30.0,False,False,8,0.0,22.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0156637000000046,nonfilling,[[8]],True,0.0
3.0,9.0,"[2, 7, 27, 3]",284.0,246.0,246.0,True,True,246,,,,,,,,True,0.0
3.0,9.0,"[2, 10, 21, 3]",293.0,246.0,246.0,True,True,246,,,,,,,,True,0.0
3.0,9.0,"[2, 8, 24, 3]",280.0,246.0,246.0,True,True,246,,,,,,,,True,0.0
3.0,9.0,"[2, 5, 35, 3]",290.0,246.0,246.0,True,True,246,,,,,,,,True,0.0
3.0,9.0,"[2, 4, 41, 3]",295.0,246.0,246.0,True,True,246,,,,,,,,True,0.0
3.0,9.0,"[2, 6, 30, 3]",282.0,246.0,246.0,True,True,246,,,,,,,,True,0.0
3.0,9.0,"[2, 9, 22, 3]",282.0,246.0,246.0,True,True,246,,,,,,,,True,0.0
3.0,9.0,"[2, 1, 251, 3]",1006.0,4.0,246.0,False,False,246,,,,,,,,False,242.0
3.0,9.0,"[2, 1, 299, 3]",1198.0,4.0,246.0,False,False,246,,,,,,,,False,242.0
3.0,9.0,"[2, 1, 41, 3]",166.0,4.0,246.0,False,False,124,120.0,242.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0813545000000885,nonfilling,"[[4, 41]]",False,120.0
3.0,9.0,"[2, 1, 40, 3]",162.0,4.0,246.0,False,False,121,117.0,242.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0758753000009164,nonfilling,"[[4, 41]]",False,117.0
3.0,9.0,"[2, 1, 39, 3]",158.0,4.0,246.0,False,False,118,114.0,242.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.1350602000002254,nonfilling,"[[4, 41]]",False,114.0
3.0,9.0,"[2, 1, 38, 3]",154.0,4.0,246.0,False,False,115,111.0,242.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.098506800000905,nonfilling,"[[4, 41]]",False,111.0
3.0,9.0,"[2, 1, 37, 3]",150.0,4.0,246.0,False,False,112,108.0,242.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0794848000005004,nonfilling,"[[4, 41]]",False,108.0
3.0,9.0,"[2, 1, 36, 3]",146.0,4.0,246.0,False,False,109,105.0,242.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0772057000012864,nonfilling,"[[4, 41]]",False,105.0
3.0,9.0,"[2, 1, 35, 3]",142.0,4.0,246.0,False,False,106,102.0,242.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0903670999996393,nonfilling,"[[4, 41], [5, 35]]",False,102.0
3.0,9.0,"[2, 1, 34, 3]",138.0,4.0,246.0,False,False,103,99.0,242.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.1181843000013032,nonfilling,"[[4, 41], [5, 35]]",False,99.0
