h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal,defect
2.0,5.0,"[2, 5, 4]",30.0,24.0,24.0,True,True,24,,,,,,,,,True,0.0
2.0,5.0,"[2, 1, 4]",6.0,5.0,24.0,False,False,5,0.0,19.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0127297999988513,nonfilling,[[5]],,False,0.0
2.0,5.0,"[2, 180, 4]",1080.0,24.0,24.0,True,False,24,,,,,,,,,True,0.0
2.0,5.0,"[2, 27, 4]",162.0,24.0,24.0,True,False,24,,,,,,,,,True,0.0
2.0,5.0,"[2, 23, 4]",138.0,24.0,24.0,True,False,24,,,,,,,,,True,0.0
2.0,5.0,"[2, 15, 4]",90.0,24.0,24.0,True,False,24,,,,,,,,,True,0.0
2.0,5.0,"[2, 8, 4]",48.0,24.0,24.0,True,False,24,,,,,,,,,True,0.0
2.0,5.0,"[2, 6, 4]",36.0,24.0,24.0,True,False,24,,,,,,,,,True,0.0
2.0,5.0,"[2, 4, 4]",24.0,20.0,24.0,False,False,20,,,,,,,,,True,0.0
2.0,5.0,"[2, 3, 4]",18.0,15.0,24.0,False,False,15,0.0,9.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.025347500000862,nonfilling,[[5]],,True,0.0
2.0,5.0,"[2, 2, 4]",12.0,10.0,24.0,False,False,10,0.0,14.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0190075999998953,nonfilling,[[5]],,True,0.0
3.0,5.0,"[2, 5, 13, 4]",127.0,104.0,104.0,True,True,104,,,,,,,,,True,0.0
3.0,5.0,"[2, 6, 12, 4]",132.0,104.0,104.0,True,True,104,,,,,,,,,True,0.0
3.0,5.0,"[2, 4, 15, 4]",128.0,104.0,104.0,True,True,104,,,,,,,,,True,0.0
3.0,5.0,"[2, 255, 1, 4]",769.0,9.0,104.0,False,False,104,,,,,,,,,False,95.0
3.0,5.0,"[2, 265, 3, 4]",1337.0,27.0,104.0,False,False,104,,,,,,,,,False,77.0
3.0,5.0,"[2, 300, 3, 4]",1512.0,27.0,104.0,False,False,104,,,,,,,,,False,77.0
3.0,5.0,"[2, 1, 298, 4]",1492.0,5.0,104.0,False,False,104,,,,,,,,,False,99.0
3.0,5.0,"[2, 1, 300, 4]",1502.0,5.0,104.0,False,False,104,,,,,,,,,False,99.0
3.0,5.0,"[2, 1, 15, 4]",77.0,5.0,104.0,False,False,61,56.0,99.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0487453999994613,nonfilling,"[[4, 15]]",,False,56.0
3.0,5.0,"[2, 1, 14, 4]",72.0,5.0,104.0,False,False,57,52.0,99.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0468364000007568,nonfilling,"[[4, 15]]",,False,52.0
3.0,5.0,"[2, 1, 13, 4]",67.0,5.0,104.0,False,False,53,48.0,99.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0365347000006295,nonfilling,"[[4, 15], [5, 13]]",,False,48.0
3.0,5.0,"[2, 1, 12, 4]",62.0,5.0,104.0,False,False,49,44.0,99.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0385639000014634,nonfilling,"[[4, 15], [5, 13], [6, 12]]",,False,44.0
3.0,5.0,"[2, 1, 11, 4]",57.0,5.0,104.0,False,False,45,40.0,99.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0344642000000021,nonfilling,"[[4, 15], [5, 13], [6, 12]]",,False,40.0
3.0,5.0,"[2, 1, 10, 4]",52.0,5.0,104.0,False,False,41,36.0,99.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0392449999999371,nonfilling,"[[4, 15], [5, 13], [6, 12]]",,False,36.0
3.0,5.0,"[2, 1, 9, 4]",47.0,5.0,104.0,False,False,37,32.0,99.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0347052000015537,nonfilling,"[[4, 15], [5, 13], [6, 12]]",,False,32.0
3.0,5.0,"[2, 1, 8, 4]",42.0,5.0,104.0,False,False,33,28.0,99.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0335059000008186,nonfilling,"[[4, 15], [5, 13], [6, 12]]",,False,28.0
3.0,5.0,"[2, 6, 3, 4]",42.0,27.0,104.0,False,False,33,6.0,77.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0530749999998079,nonfilling,"[[6, 12]]",,False,6.0
