h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal,defect
2,6,"[3, 20, 5]",160,140,140,True,True,140,,,,,,,,,True,0
2,6,"[3, 22, 5]",176,140,140,True,False,140,,,,,,,,,True,0
2,6,"[3, 21, 5]",168,140,140,True,False,140,,,,,,,,,True,0
2,6,"[3, 18, 5]",144,126,140,False,False,126,,,,,,,,,True,0
2,6,"[3, 19, 5]",152,133,140,False,False,133,,,,,,,,,True,0
