h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,is_unimodal,defect
2.0,2.0,"[2, 3, 3]",15.0,9.0,9.0,True,True,9,,,,,,,,True,0.0
2.0,2.0,"[2, 1, 3]",5.0,4.0,9.0,False,False,4,0.0,5.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.1705416000004334,nonfilling,[[3]],False,0.0
2.0,2.0,"[2, 23, 3]",115.0,9.0,9.0,True,False,9,,,,,,,,True,0.0
2.0,2.0,"[2, 8, 3]",40.0,9.0,9.0,True,False,9,,,,,,,,True,0.0
2.0,2.0,"[2, 6, 3]",30.0,9.0,9.0,True,False,9,,,,,,,,True,0.0
2.0,2.0,"[2, 4, 3]",20.0,9.0,9.0,True,False,9,,,,,,,,True,0.0
2.0,2.0,"[2, 2, 3]",10.0,8.0,9.0,False,False,8,,,,,,,,True,0.0
3.0,2.0,"[2, 3, 3, 3]",24.0,15.0,15.0,True,True,15,,,,,,,,True,0.0
3.0,2.0,"[2, 1, 15, 3]",62.0,4.0,15.0,False,False,15,,,,,,,,False,11.0
3.0,2.0,"[2, 6, 2, 3]",30.0,10.0,15.0,False,False,15,,,,,,,,False,5.0
3.0,2.0,"[2, 32, 2, 3]",134.0,10.0,15.0,False,False,15,,,,,,,,False,5.0
3.0,2.0,"[2, 39, 2, 3]",162.0,10.0,15.0,False,False,15,,,,,,,,False,5.0
3.0,2.0,"[2, 40, 1, 3]",123.0,5.0,15.0,False,False,15,,,,,,,,False,10.0
3.0,2.0,"[2, 40, 2, 3]",166.0,10.0,15.0,False,False,15,,,,,,,,False,5.0
3.0,2.0,"[2, 1, 49, 3]",198.0,4.0,15.0,False,False,15,,,,,,,,False,11.0
3.0,2.0,"[2, 190, 1, 3]",573.0,5.0,15.0,False,False,15,,,,,,,,False,10.0
3.0,2.0,"[2, 112, 2, 3]",454.0,10.0,15.0,False,False,15,,,,,,,,False,5.0
3.0,2.0,"[2, 225, 2, 3]",906.0,10.0,15.0,False,False,15,,,,,,,,False,5.0
3.0,2.0,"[2, 264, 2, 3]",1062.0,10.0,15.0,False,False,15,,,,,,,,False,5.0
3.0,2.0,"[2, 284, 2, 3]",1142.0,10.0,15.0,False,False,15,,,,,,,,False,5.0
3.0,2.0,"[2, 295, 2, 3]",1186.0,10.0,15.0,False,False,15,,,,,,,,False,5.0
3.0,2.0,"[2, 1, 298, 3]",1194.0,4.0,15.0,False,False,15,,,,,,,,False,11.0
3.0,2.0,"[2, 300, 1, 3]",903.0,5.0,15.0,False,False,15,,,,,,,,False,10.0
3.0,2.0,"[2, 300, 2, 3]",1206.0,10.0,15.0,False,False,15,,,,,,,,False,5.0
3.0,2.0,"[2, 1, 300, 3]",1202.0,4.0,15.0,False,False,15,,,,,,,,False,11.0
3.0,2.0,"[2, 3, 2, 3]",18.0,10.0,15.0,False,False,13,3.0,5.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.2841375999996671,nonfilling,"[[3, 3]]",False,3.0
3.0,2.0,"[2, 1, 3, 3]",14.0,4.0,15.0,False,False,10,6.0,11.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.2273371999999653,nonfilling,"[[3, 3]]",False,6.0
3.0,2.0,"[2, 3, 1, 3]",12.0,5.0,15.0,False,False,8,3.0,10.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.182731099999728,nonfilling,"[[3, 3]]",False,3.0
3.0,2.0,"[2, 1, 2, 3]",10.0,4.0,15.0,False,False,7,3.0,11.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.1469527000008383,nonfilling,"[[3, 3]]",False,3.0
