h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,is_unimodal,defect
2.0,5.0,"[2, 6, 9]",66.0,54.0,54.0,True,True,54,,,,,,,,True,0.0
2.0,5.0,"[2, 1, 9]",11.0,10.0,54.0,False,False,10,0.0,44.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0797987000005377,nonfilling,[[6]],False,0.0
2.0,5.0,"[2, 127, 9]",1397.0,54.0,54.0,True,False,54,,,,,,,,True,0.0
2.0,5.0,"[2, 69, 9]",759.0,54.0,54.0,True,False,54,,,,,,,,True,0.0
2.0,5.0,"[2, 18, 9]",198.0,54.0,54.0,True,False,54,,,,,,,,True,0.0
2.0,5.0,"[2, 7, 9]",77.0,54.0,54.0,True,False,54,,,,,,,,True,0.0
2.0,5.0,"[2, 5, 9]",55.0,50.0,54.0,False,False,50,,,,,,,,True,0.0
2.0,5.0,"[2, 4, 9]",44.0,40.0,54.0,False,False,40,0.0,14.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.3214017000027525,nonfilling,[[6]],True,0.0
2.0,5.0,"[2, 3, 9]",33.0,30.0,54.0,False,False,30,0.0,24.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.2567799999997078,nonfilling,[[6]],True,0.0
2.0,5.0,"[2, 2, 9]",22.0,20.0,54.0,False,False,20,0.0,34.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.1310254999989411,nonfilling,[[6]],True,0.0
3.0,5.0,"[2, 4, 20, 9]",268.0,234.0,234.0,True,True,234,,,,,,,,True,0.0
3.0,5.0,"[2, 6, 17, 9]",267.0,234.0,234.0,True,True,234,,,,,,,,True,0.0
3.0,5.0,"[2, 5, 18, 9]",262.0,234.0,234.0,True,True,234,,,,,,,,True,0.0
