h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal,defect
2.0,3.0,"[2, 2, 1]",6.0,4.0,4.0,True,True,4,,,,,,,,,True,0.0
2.0,3.0,"[2, 1, 1]",3.0,2.0,4.0,False,False,2,0.0,2.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0074101000000155,nonfilling,[[2]],,True,0.0
3.0,3.0,"[2, 3, 3, 1]",18.0,10.0,10.0,True,True,10,,,,,,,,,True,0.0
3.0,3.0,"[2, 1, 3, 1]",8.0,2.0,10.0,False,False,4,2.0,8.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0135768000000098,nonfilling,"[[3, 3]]",,False,2.0
3.0,3.0,"[2, 1, 2, 1]",6.0,2.0,10.0,False,False,3,1.0,8.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0121205000000372,nonfilling,"[[3, 3]]",,False,1.0
3.0,3.0,"[2, 177, 2, 1]",710.0,8.0,10.0,False,False,10,,,,,,,,,True,2.0
3.0,3.0,"[2, 2, 138, 1]",418.0,6.0,10.0,False,False,10,,,,,,,,,True,4.0
3.0,3.0,"[2, 2, 147, 1]",445.0,6.0,10.0,False,False,10,,,,,,,,,True,4.0
3.0,3.0,"[2, 2, 278, 1]",838.0,6.0,10.0,False,False,10,,,,,,,,,True,4.0
3.0,3.0,"[2, 223, 2, 1]",894.0,8.0,10.0,False,False,10,,,,,,,,,True,2.0
3.0,3.0,"[2, 287, 2, 1]",1150.0,8.0,10.0,False,False,10,,,,,,,,,True,2.0
3.0,3.0,"[2, 2, 296, 1]",892.0,6.0,10.0,False,False,10,,,,,,,,,True,4.0
3.0,3.0,"[2, 298, 2, 1]",1194.0,8.0,10.0,False,False,10,,,,,,,,,True,2.0
3.0,3.0,"[2, 299, 2, 1]",1198.0,8.0,10.0,False,False,10,,,,,,,,,True,2.0
3.0,3.0,"[2, 2, 297, 1]",895.0,6.0,10.0,False,False,10,,,,,,,,,True,4.0
