h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,is_unimodal,shrunk_hidden_layers,defect,d0,dh,r
3.0,1.0,"[2, 1, 2, 2]",8.0,3.0,4.0,False,False,4,1.0,1.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0287714999999479,maximal_subarchitecture_of_recorded_mfa,"[[2, 2, 2, 2]]",False,[1],1.0,2,2,1
3.0,1.0,"[2, 2, 1, 2]",8.0,3.0,4.0,False,False,4,1.0,1.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0129296000000067,maximal_subarchitecture_of_recorded_mfa,"[[2, 2, 2, 2]]",False,[2],1.0,2,2,1
3.0,1.0,"[2, 1, 19, 2]",59.0,3.0,4.0,False,False,4,,,,,,,,False,,1.0,2,2,1
3.0,1.0,"[2, 1, 137, 2]",413.0,3.0,4.0,False,False,4,,,,,,,,False,,1.0,2,2,1
3.0,1.0,"[2, 199, 1, 2]",599.0,3.0,4.0,False,False,4,,,,,,,,False,,1.0,2,2,1
3.0,1.0,"[2, 1, 199, 2]",599.0,3.0,4.0,False,False,4,,,,,,,,False,,1.0,2,2,1
3.0,1.0,"[2, 250, 1, 2]",752.0,3.0,4.0,False,False,4,,,,,,,,False,,1.0,2,2,1
3.0,1.0,"[2, 270, 1, 2]",812.0,3.0,4.0,False,False,4,,,,,,,,False,,1.0,2,2,1
3.0,1.0,"[2, 1, 291, 2]",875.0,3.0,4.0,False,False,4,,,,,,,,False,,1.0,2,2,1
3.0,1.0,"[2, 291, 1, 2]",875.0,3.0,4.0,False,False,4,,,,,,,,False,,1.0,2,2,1
3.0,1.0,"[2, 1, 293, 2]",881.0,3.0,4.0,False,False,4,,,,,,,,False,,1.0,2,2,1
3.0,1.0,"[2, 1, 300, 2]",902.0,3.0,4.0,False,False,4,,,,,,,,False,,1.0,2,2,1
3.0,1.0,"[2, 300, 1, 2]",902.0,3.0,4.0,False,False,4,,,,,,,,False,,1.0,2,2,1
3.0,3.0,"[2, 3, 4, 2]",26.0,19.0,20.0,False,False,19,,,,,,,,True,,0.0,2,2,3
3.0,2.0,"[2, 3, 4, 5]",38.0,24.0,25.0,False,False,25,1.0,1.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0549136999998154,nonfilling,"[[3, 5]]",True,,1.0,2,5,2
3.0,2.0,"[2, 141, 4, 5]",866.0,24.0,25.0,False,False,25,,,,,,,,False,,1.0,2,5,2
3.0,2.0,"[2, 209, 4, 5]",1274.0,24.0,25.0,False,False,25,,,,,,,,False,,1.0,2,5,2
3.0,2.0,"[2, 247, 4, 5]",1502.0,24.0,25.0,False,False,25,,,,,,,,False,,1.0,2,5,2
3.0,2.0,"[2, 276, 4, 5]",1676.0,24.0,25.0,False,False,25,,,,,,,,False,,1.0,2,5,2
3.0,2.0,"[2, 289, 4, 5]",1754.0,24.0,25.0,False,False,25,,,,,,,,False,,1.0,2,5,2
3.0,2.0,"[2, 298, 4, 5]",1808.0,24.0,25.0,False,False,25,,,,,,,,False,,1.0,2,5,2
3.0,2.0,"[2, 300, 4, 5]",1820.0,24.0,25.0,False,False,25,,,,,,,,False,,1.0,2,5,2
3.0,2.0,"[4, 6, 4, 1]",52.0,34.0,35.0,False,False,35,1.0,1.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",1.093576100000064,maximal_subarchitecture_of_recorded_mfa,"[[4, 6, 5, 1]]",True,[2],1.0,4,1,2
3.0,2.0,"[4, 20, 4, 1]",164.0,34.0,35.0,False,False,35,,,,,,,,True,,1.0,4,1,2
