h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal,defect
2,8,"[3, 27, 3]",162,135,135,True,True,135,,,,,,,,,True,0
2,8,"[3, 28, 3]",168,135,135,True,False,135,,,,,,,,,True,0
2,8,"[3, 24, 3]",144,120,135,False,False,120,,,,,,,,,True,0
2,8,"[3, 25, 3]",150,125,135,False,False,125,,,,,,,,,True,0
2,8,"[3, 26, 3]",156,130,135,False,False,130,,,,,,,,,True,0
