h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal,defect
2,11,"[2, 8, 2]",32,24,24,True,True,24,,,,,,,,,True,0
2,11,"[2, 7, 2]",28,21,24,False,False,21,,,,,,,,,True,0
3,11,"[2, 116, 10, 2]",1412,130,244,False,False,244,,,,,,,,,True,114
3,11,"[2, 119, 3, 2]",601,39,244,False,False,244,,,,,,,,,True,205
3,11,"[2, 121, 5, 2]",857,65,244,False,False,244,,,,,,,,,True,179
3,11,"[2, 76, 11, 2]",1010,143,244,False,False,244,,,,,,,,,True,101
3,11,"[2, 99, 11, 2]",1309,143,244,False,False,244,,,,,,,,,True,101
3,11,"[2, 82, 12, 2]",1172,156,244,False,False,244,,,,,,,,,True,88
3,11,"[2, 112, 12, 2]",1592,156,244,False,False,244,,,,,,,,,True,88
3,11,"[2, 118, 10, 2]",1436,130,244,False,False,244,,,,,,,,,True,114
3,11,"[2, 119, 11, 2]",1569,143,244,False,False,244,,,,,,,,,True,101
3,11,"[2, 122, 4, 2]",740,52,244,False,False,244,,,,,,,,,True,192
3,11,"[2, 113, 12, 2]",1606,156,244,False,False,244,,,,,,,,,True,88
3,11,"[2, 115, 12, 2]",1634,156,244,False,False,244,,,,,,,,,True,88
3,11,"[2, 120, 6, 2]",972,78,244,False,False,244,,,,,,,,,True,166
3,11,"[2, 120, 7, 2]",1094,91,244,False,False,244,,,,,,,,,True,153
3,11,"[2, 122, 8, 2]",1236,104,244,False,False,244,,,,,,,,,True,140
3,11,"[2, 122, 12, 2]",1732,156,244,False,False,244,,,,,,,,,True,88
4,11,"[2, 240, 121, 1, 2]",29643,123,2664,False,False,2664,,,,,,,,,False,2541
4,11,"[2, 193, 61, 4, 2]",12411,492,2664,False,False,2664,,,,,,,,,True,2172
4,11,"[2, 59, 62, 7, 2]",4224,861,2664,False,False,2664,,,,,,,,,True,1803
4,11,"[2, 139, 21, 8, 2]",3381,407,2664,False,False,2664,,,,,,,,,True,2257
