h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal,defect
2,2,"[5, 5, 1]",30,15,15,True,True,15,,,,,,,,,True,0
2,2,"[5, 29, 1]",174,15,15,True,False,15,,,,,,,,,True,0
2,2,"[5, 18, 1]",108,15,15,True,False,15,,,,,,,,,True,0
2,2,"[5, 12, 1]",72,15,15,True,False,15,,,,,,,,,True,0
2,2,"[5, 11, 1]",66,15,15,True,False,15,,,,,,,,,True,0
2,2,"[5, 8, 1]",48,15,15,True,False,15,,,,,,,,,True,0
2,2,"[5, 6, 1]",36,15,15,True,False,15,,,,,,,,,True,0
2,2,"[5, 4, 1]",24,14,15,False,False,15,,,,,,,,,True,1
3,2,"[5, 9, 6, 1]",105,70,70,True,True,70,,,,,,,,,True,0
3,2,"[5, 3, 38, 1]",167,18,70,False,False,70,,,,,,,,,False,52
3,2,"[5, 15, 26, 1]",491,70,70,True,False,70,,,,,,,,,True,0
3,2,"[5, 50, 13, 1]",913,70,70,True,False,70,,,,,,,,,True,0
3,2,"[5, 44, 9, 1]",625,70,70,True,False,70,,,,,,,,,True,0
3,2,"[5, 30, 16, 1]",646,70,70,True,False,70,,,,,,,,,True,0
3,2,"[5, 14, 23, 1]",415,70,70,True,False,70,,,,,,,,,True,0
3,2,"[5, 34, 9, 1]",485,70,70,True,False,70,,,,,,,,,True,0
3,2,"[5, 20, 6, 1]",226,70,70,True,False,70,,,,,,,,,True,0
3,2,"[5, 11, 54, 1]",703,70,70,True,False,70,,,,,,,,,True,0
3,2,"[5, 19, 14, 1]",375,70,70,True,False,70,,,,,,,,,True,0
3,2,"[5, 8, 54, 1]",526,68,70,False,False,70,,,,,,,,,True,2
3,2,"[5, 9, 28, 1]",325,70,70,True,False,70,,,,,,,,,True,0
3,2,"[5, 13, 9, 1]",191,70,70,True,False,70,,,,,,,,,True,0
3,2,"[5, 51, 4, 1]",463,54,70,False,False,70,,,,,,,,,True,16
3,2,"[5, 10, 6, 1]",116,70,70,True,False,70,,,,,,,,,True,0
3,2,"[5, 52, 3, 1]",419,42,70,False,False,70,,,,,,,,,True,28
3,2,"[5, 8, 55, 1]",535,68,70,False,False,70,,,,,,,,,True,2
