h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,is_unimodal,defect
2.0,8.0,"[5, 315, 7]",3780.0,3465.0,3465.0,True,True,3465,,,,,,,,True,0.0
2.0,8.0,"[5, 4, 7]",48.0,44.0,3465.0,False,False,44,0.0,3421.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.4029890000001614,nonfilling,[[315]],False,0.0
2.0,8.0,"[5, 3, 7]",36.0,33.0,3465.0,False,False,33,0.0,3432.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.3151071000011143,nonfilling,[[315]],False,0.0
2.0,8.0,"[5, 2, 7]",24.0,22.0,3465.0,False,False,22,0.0,3443.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.2714255000009871,nonfilling,[[315]],False,0.0
2.0,8.0,"[5, 1, 7]",12.0,11.0,3465.0,False,False,11,0.0,3454.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.1245949999993172,nonfilling,[[315]],False,0.0
2.0,8.0,"[5, 386, 7]",4632.0,3465.0,3465.0,True,False,3465,,,,,,,,True,0.0
2.0,8.0,"[5, 316, 7]",3792.0,3465.0,3465.0,True,False,3465,,,,,,,,True,0.0
2.0,8.0,"[5, 298, 7]",3576.0,3278.0,3465.0,False,False,3278,,,,,,,,True,0.0
2.0,8.0,"[5, 311, 7]",3732.0,3421.0,3465.0,False,False,3421,,,,,,,,True,0.0
2.0,8.0,"[5, 313, 7]",3756.0,3443.0,3465.0,False,False,3443,,,,,,,,True,0.0
2.0,8.0,"[5, 314, 7]",3768.0,3454.0,3465.0,False,False,3454,,,,,,,,True,0.0
2.0,8.0,"[5, 312, 7]",3744.0,3432.0,3465.0,False,False,3432,0.0,33.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",9.725955399999291,nonfilling,[[315]],True,0.0
2.0,8.0,"[5, 310, 7]",3720.0,3410.0,3465.0,False,False,3410,0.0,55.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",9.963355900000352,nonfilling,[[315]],True,0.0
2.0,8.0,"[5, 309, 7]",3708.0,3399.0,3465.0,False,False,3399,0.0,66.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",10.031420799999978,nonfilling,[[315]],True,0.0
2.0,8.0,"[5, 308, 7]",3696.0,3388.0,3465.0,False,False,3388,0.0,77.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",9.798935199999503,nonfilling,[[315]],True,0.0
2.0,8.0,"[5, 307, 7]",3684.0,3377.0,3465.0,False,False,3377,0.0,88.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",9.967606399999568,nonfilling,[[315]],True,0.0
2.0,8.0,"[5, 306, 7]",3672.0,3366.0,3465.0,False,False,3366,0.0,99.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",10.25662310000007,nonfilling,[[315]],True,0.0
2.0,8.0,"[5, 305, 7]",3660.0,3355.0,3465.0,False,False,3355,0.0,110.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",11.803125999999793,nonfilling,[[315]],True,0.0
2.0,8.0,"[5, 304, 7]",3648.0,3344.0,3465.0,False,False,3344,0.0,121.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",12.586815800000297,nonfilling,[[315]],True,0.0
2.0,8.0,"[5, 303, 7]",3636.0,3333.0,3465.0,False,False,3333,0.0,132.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",12.693284500000118,nonfilling,[[315]],True,0.0
